#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
chr19_28233	2658.00	chr19_28233	2658.00	29.00	71.00	62.00	45.00	49.00	41.00	41.00	125.00	77.00	57.00	71.00	36.00	103.00	64.00	44.00	66.00	50.00	19.00	56.00	55.00	68.00	62.00	32.00	64.00	55.00	38.00	62.00	62.00	58.00	29.00	51.00	76.00	55.00	35.00	60.00	87.00	49.00	41.00	63.00	64.00	30.00	10.00	17.00	27.00	28.00	21.00	75.00	49.00	41.00	43.00	17.00	28.00	2.24	5.04	4.62	3.26	3.37	2.79	2.70	9.95	5.53	3.91	5.64	2.67	3.86	4.82	2.99	4.77	3.65	1.56	4.11	4.26	5.34	4.94	2.51	5.14	4.15	3.34	6.59	4.97	4.94	2.81	4.62	6.61	4.74	3.28	4.96	7.73	4.29	3.42	5.33	5.04	2.12	0.69	1.28	1.95	2.14	1.75	5.55	3.57	3.21	2.92	1.31	2.35
chr19_28290	192.00	chr19_28290	192.00	0	2.00	0	3.00	3.00	2.00	2.00	6.00	4.00	4.00	1.00	2.00	13.00	3.00	0	7.00	3.00	3.00	6.00	2.00	1.00	4.00	1.00	8.00	6.00	2.00	8.00	2.00	2.00	3.00	0	3.00	8.00	7.00	3.00	0	4.00	5.00	2.00	3.00	2.00	4.00	2.00	5.00	2.00	1.00	6.00	14.00	1.00	6.00	3.00	8.00	0	0.14	0	0.22	0.21	0.14	0.13	0.48	0.29	0.27	0.08	0.15	0.49	0.23	0	0.51	0.22	0.25	0.44	0.15	0.08	0.32	0.08	0.64	0.45	0.18	0.85	0.16	0.17	0.29	0	0.26	0.69	0.66	0.25	0	0.35	0.42	0.17	0.24	0.14	0.28	0.15	0.36	0.15	0.08	0.44	1.02	0.08	0.41	0.23	0.67
chr19_28297	11.00	chr19_28297	11.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	2.00	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.07	0	0	0	0	0.08	0	0.08	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0.16	0.07	0	0	0	0	0	0	0.07	0	0	0	0.08
chr19_28315	3.00	chr19_28315	3.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0
chr19_28332	38.00	chr19_28332	38.00	0	0	1.00	1.00	1.00	0	1.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0	0	1.00	2.00	0	2.00	1.00	0	2.00	0	1.00	0	0	1.00	1.00	1.00	0	1.00	1.00	1.00	1.00	0	2.00	0	0	0	0	0	0	1.00	3.00	1.00	0	0	0	0	2.00	0	0	0.07	0.07	0.07	0	0.07	0.16	0.07	0.07	0.08	0.07	0.04	0.08	0.07	0	0	0.08	0.15	0	0.16	0.08	0	0.16	0	0.09	0	0	0.09	0.10	0.09	0	0.09	0.09	0.08	0.09	0	0.17	0	0	0	0	0	0	0.08	0.25	0.07	0	0	0	0	0.17
chr19_28422	158.00	chr19_28422	158.00	1.00	2.00	2.00	3.00	4.00	2.00	2.00	6.00	1.00	1.00	4.00	8.00	3.00	4.00	1.00	4.00	2.00	0	3.00	5.00	1.00	4.00	3.00	2.00	5.00	3.00	5.00	4.00	2.00	1.00	4.00	6.00	3.00	1.00	4.00	0	5.00	5.00	3.00	4.00	2.00	0	5.00	0	5.00	7.00	5.00	2.00	2.00	3.00	0	4.00	0.08	0.14	0.15	0.22	0.28	0.14	0.13	0.48	0.07	0.07	0.32	0.59	0.11	0.30	0.07	0.29	0.15	0	0.22	0.39	0.08	0.32	0.24	0.16	0.38	0.26	0.53	0.32	0.17	0.10	0.36	0.52	0.26	0.09	0.33	0	0.44	0.42	0.25	0.32	0.14	0	0.38	0	0.38	0.58	0.37	0.15	0.16	0.20	0	0.34
chr19_28469	17.00	chr19_28469	17.00	0	0	0	1.00	0	0	1.00	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	7.00	0	0	0	0.07	0	0	0.07	0	0	0.07	0	0	0	0	0	0	0.07	0	0	0	0	0.08	0	0	0	0	0	0.08	0	0	0.18	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.59
chr19_28475	28.00	chr19_28475	28.00	0	0	1.00	0	0	3.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	2.00	3.00	1.00	0	2.00	2.00	0	1.00	0	0	0	0	0	2.00	0	0	0	0	1.00	1.00	1.00	3.00	0	0	0	0	0	0	1.00	1.00	0	1.00	0	0	0	0.07	0	0	0.20	0	0	0.07	0	0	0	0	0	0	0	0.07	0	0	0.15	0.24	0.08	0	0.16	0.15	0	0.11	0	0	0	0	0	0.17	0	0	0	0	0.08	0.08	0.08	0.21	0	0	0	0	0	0	0.07	0.08	0	0.08	0
chr19_28499	18.00	chr19_28499	18.00	1.00	0	2.00	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	1.00	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	1.00	2.00	0.08	0	0.15	0	0	0	0.07	0	0	0.07	0	0	0	0.08	0	0	0	0	0.07	0	0.08	0	0.08	0	0.08	0	0.11	0	0	0	0	0	0	0	0.08	0	0.09	0	0	0.08	0	0	0	0.07	0	0	0	0	0	0	0.08	0.17
chr19_28597	10.00	chr19_28597	10.00	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00	1.00	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0.07	0	0	0.07	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.08	0	0.08	0.09	0.11	0	0	0	0	0	0	0.09	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0
chr19_28606	29.00	chr19_28606	29.00	1.00	1.00	0	0	0	2.00	1.00	1.00	1.00	1.00	2.00	1.00	0	0	0	1.00	0	1.00	2.00	0	0	0	0	1.00	0	0	2.00	0	0	0	1.00	0	0	0	1.00	0	0	1.00	1.00	1.00	1.00	0	1.00	0	1.00	1.00	0	0	0	2.00	0	0	0.08	0.07	0	0	0	0.14	0.07	0.08	0.07	0.07	0.16	0.07	0	0	0	0.07	0	0.08	0.15	0	0	0	0	0.08	0	0	0.21	0	0	0	0.09	0	0	0	0.08	0	0	0.08	0.08	0.08	0.07	0	0.08	0	0.08	0.08	0	0	0	0.14	0	0
chr19_28669	25.00	chr19_28669	25.00	0	0	2.00	0	1.00	1.00	1.00	0	1.00	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	1.00	0	1.00	1.00	0	0	0	1.00	2.00	0	0	0	0	1.00	1.00	0	0	1.00	0	0	0	0	1.00	1.00	0	0	2.00	0	0	1.00	2.00	0	0	0.15	0	0.07	0.07	0.07	0	0.07	0.07	0	0	0	0.08	0	0.07	0	0	0	0	0	0.08	0	0.08	0.08	0	0	0	0.09	0.19	0	0	0	0	0.08	0.09	0	0	0.08	0	0	0	0	0.07	0.08	0	0	0.15	0	0	0.08	0.17
chr19_28729	17.00	chr19_28729	17.00	0	1.00	1.00	0	0	1.00	0	0	0	1.00	0	0	2.00	0	0	0	0	1.00	3.00	0	0	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	0	1.00	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0.07	0.07	0	0	0.07	0	0	0	0.07	0	0	0.07	0	0	0	0	0.08	0.22	0	0	0	0.08	0	0.08	0	0	0	0	0.10	0	0	0	0	0.08	0.09	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.08
chr19_28794	8.00	chr19_28794	8.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	1.00	2.00	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0.09	0	0	0	0	0	0.08	0.17	0	0.07	0	0	0	0	0	0	0	0.08	0	0	0
chr19_28797	9.00	chr19_28797	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	1.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0.07	0	0	0	0	0.08	0	0	0.08	0	0.08	0.08
chr19_28884	1981.00	chr19_28884	1981.00	28.00	34.00	31.00	25.00	43.00	41.00	48.00	17.00	52.00	70.00	28.00	28.00	60.00	58.00	12.00	44.00	56.00	18.00	36.00	38.00	45.00	37.00	45.00	60.00	40.00	17.00	30.00	51.00	48.00	12.00	38.00	16.00	28.00	37.00	28.00	22.00	39.00	41.00	30.00	28.00	35.00	7.00	17.00	45.00	39.00	70.00	36.00	32.00	50.00	75.00	52.00	64.00	2.16	2.41	2.31	1.81	2.96	2.79	3.16	1.35	3.74	4.80	2.22	2.07	2.25	4.37	0.82	3.18	4.09	1.48	2.64	2.94	3.54	2.95	3.53	4.82	3.02	1.49	3.19	4.09	4.08	1.16	3.44	1.39	2.42	3.46	2.31	1.96	3.41	3.42	2.54	2.21	2.48	0.48	1.28	3.25	2.97	5.83	2.66	2.33	3.92	5.09	4.01	5.37
chr19_28928	9.00	chr19_28928	9.00	0	1.00	0	0	0	1.00	0	1.00	1.00	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.07	0	0.08	0.07	0	0	0	0	0.08	0.07	0	0	0	0	0	0	0	0	0	0	0.09	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0
chr19_28932	44.00	chr19_28932	44.00	0	0	4.00	0	0	0	0	0	0	0	7.00	0	2.00	1.00	0	1.00	0	0	0	1.00	0	3.00	1.00	0	3.00	1.00	6.00	1.00	2.00	1.00	1.00	3.00	0	0	0	0	1.00	3.00	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0.30	0	0	0	0	0	0	0	0.56	0	0.07	0.08	0	0.07	0	0	0	0.08	0	0.24	0.08	0	0.23	0.09	0.64	0.08	0.17	0.10	0.09	0.26	0	0	0	0	0.09	0.25	0	0	0	0	0	0	0	0.08	0.07	0	0	0	0	0
chr19_28944	5.00	chr19_28944	5.00	0	1.00	0	0	1.00	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.07	0	0	0	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_28962	325.00	chr19_28962	325.00	1.00	10.00	3.00	2.00	5.00	5.00	11.00	4.00	4.00	2.00	9.00	9.00	7.00	14.00	4.00	20.00	5.00	1.00	5.00	9.00	4.00	1.00	5.00	1.00	5.00	18.00	6.00	10.00	5.00	7.00	8.00	5.00	10.00	2.00	13.00	9.00	6.00	10.00	7.00	2.00	3.00	5.00	4.00	2.00	6.00	12.00	8.00	8.00	4.00	8.00	1.00	0	0.08	0.71	0.22	0.14	0.34	0.34	0.72	0.32	0.29	0.14	0.71	0.67	0.26	1.05	0.27	1.45	0.37	0.08	0.37	0.70	0.31	0.08	0.39	0.08	0.38	1.58	0.64	0.80	0.43	0.68	0.73	0.43	0.86	0.19	1.07	0.80	0.52	0.83	0.59	0.16	0.21	0.35	0.30	0.14	0.46	1.00	0.59	0.58	0.31	0.54	0.08	0
chr19_28989	26.00	chr19_28989	26.00	1.00	0	0	2.00	1.00	0	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	1.00	1.00	0	1.00	0	0	0	1.00	0	1.00	0	0	1.00	1.00	2.00	1.00	1.00	0	1.00	2.00	1.00	0	1.00	0.08	0	0	0.14	0.07	0	0	0	0	0.07	0	0	0.04	0.08	0	0	0	0	0	0	0.08	0.16	0	0	0	0	0	0	0	0.10	0.09	0	0.09	0	0	0	0.09	0	0.08	0	0	0.07	0.08	0.14	0.08	0.08	0	0.07	0.16	0.07	0	0.08
chr19_29024	10.00	chr19_29024	10.00	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	2.00	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0.08	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.07	0	0	0	0.15	0	0.08	0	0	0.08	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.07	0	0
chr19_29028	85.00	chr19_29028	85.00	1.00	1.00	1.00	2.00	2.00	2.00	1.00	2.00	2.00	3.00	2.00	1.00	1.00	1.00	1.00	3.00	3.00	1.00	5.00	1.00	2.00	2.00	2.00	4.00	2.00	1.00	1.00	2.00	4.00	2.00	0	3.00	3.00	4.00	1.00	1.00	2.00	2.00	0	2.00	0	0	0	1.00	0	2.00	0	0	3.00	3.00	0	0	0.08	0.07	0.07	0.14	0.14	0.14	0.07	0.16	0.14	0.21	0.16	0.07	0.04	0.08	0.07	0.22	0.22	0.08	0.37	0.08	0.16	0.16	0.16	0.32	0.15	0.09	0.11	0.16	0.34	0.19	0	0.26	0.26	0.37	0.08	0.09	0.17	0.17	0	0.16	0	0	0	0.07	0	0.17	0	0	0.24	0.20	0	0
chr19_29058	6.00	chr19_29058	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0.08	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_29088	8.00	chr19_29088	8.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	1.00	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0.07	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.09	0.09	0	0	0.08	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0
chr19_29098	24.00	chr19_29098	24.00	0	0	0	1.00	0	0	0	0	0	2.00	0	0	4.00	2.00	1.00	0	0	0	1.00	1.00	0	0	0	0	2.00	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	2.00	0	1.00	0	1.00	1.00	0	1.00	0	0	0	0	0	0.07	0	0	0	0	0	0.14	0	0	0.15	0.15	0.07	0	0	0	0.07	0.08	0	0	0	0	0.15	0.09	0	0	0.09	0	0	0	0	0	0	0	0	0	0.08	0	0	0.07	0.15	0	0.08	0	0.07	0.07	0	0.07	0	0
chr19_29111	47.00	chr19_29111	47.00	1.00	1.00	0	3.00	1.00	1.00	1.00	1.00	0	2.00	0	0	3.00	2.00	1.00	0	0	2.00	0	1.00	1.00	0	2.00	2.00	2.00	2.00	1.00	1.00	1.00	0	0	1.00	0	2.00	2.00	1.00	0	0	2.00	1.00	0	0	0	1.00	0	0	0	0	3.00	1.00	0	1.00	0.08	0.07	0	0.22	0.07	0.07	0.07	0.08	0	0.14	0	0	0.11	0.15	0.07	0	0	0.16	0	0.08	0.08	0	0.16	0.16	0.15	0.18	0.11	0.08	0.09	0	0	0.09	0	0.19	0.17	0.09	0	0	0.17	0.08	0	0	0	0.07	0	0	0	0	0.24	0.07	0	0.08
chr19_29144	25.00	chr19_29144	25.00	0	0	0	0	0	0	1.00	1.00	0	0	3.00	2.00	0	1.00	0	0	0	0	2.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	1.00	0	0	1.00	0	0	1.00	2.00	0	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0.07	0.08	0	0	0.24	0.15	0	0.08	0	0	0	0	0.15	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0.17	0.09	0	0	0.08	0	0	0.07	0.15	0	0	0	0	0.15	0.08	0.07	0	0
chr19_29240	64.00	chr19_29240	64.00	0	1.00	0	1.00	2.00	1.00	2.00	1.00	3.00	0	0	0	1.00	1.00	2.00	1.00	5.00	2.00	2.00	2.00	0	2.00	2.00	3.00	2.00	1.00	0	2.00	1.00	0	0	2.00	0	0	3.00	0	0	1.00	1.00	1.00	0	1.00	1.00	3.00	2.00	1.00	1.00	1.00	1.00	1.00	1.00	3.00	0	0.07	0	0.07	0.14	0.07	0.13	0.08	0.22	0	0	0	0.04	0.08	0.14	0.07	0.37	0.16	0.15	0.15	0	0.16	0.16	0.24	0.15	0.09	0	0.16	0.09	0	0	0.17	0	0	0.25	0	0	0.08	0.08	0.08	0	0.07	0.08	0.22	0.15	0.08	0.07	0.07	0.08	0.07	0.08	0.25
chr19_29250	7.00	chr19_29250	7.00	0	0	0	0	1.00	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.07	0.04	0	0	0	0	0	0.07	0	0	0.08	0	0	0	0	0	0.08	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_29300	8.00	chr19_29300	8.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	2.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0.18	0.09	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0
chr19_29332	75.00	chr19_29332	75.00	2.00	2.00	0	1.00	0	0	1.00	3.00	1.00	2.00	0	0	5.00	1.00	0	3.00	2.00	0	6.00	0	2.00	1.00	2.00	1.00	5.00	4.00	2.00	3.00	1.00	0	1.00	3.00	2.00	0	2.00	0	3.00	0	5.00	0	0	1.00	1.00	0	0	2.00	2.00	1.00	0	2.00	0	0	0.15	0.14	0	0.07	0	0	0.07	0.24	0.07	0.14	0	0	0.19	0.08	0	0.22	0.15	0	0.44	0	0.16	0.08	0.16	0.08	0.38	0.35	0.21	0.24	0.09	0	0.09	0.26	0.17	0	0.17	0	0.26	0	0.42	0	0	0.07	0.08	0	0	0.17	0.15	0.07	0	0.14	0	0
chr19_29368	4.00	chr19_29368	4.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_29379	15.00	chr19_29379	15.00	0	1.00	1.00	0	0	1.00	0	0	0	0	0	1.00	0	0	1.00	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	1.00	0	0	0	0.07	0.07	0	0	0.07	0	0	0	0	0	0.07	0	0	0.07	0	0.07	0	0.07	0	0	0	0	0.08	0	0	0	0.08	0	0.10	0	0	0	0	0	0.09	0	0	0	0	0.07	0	0	0	0.08	0	0.07	0	0	0.07	0	0
chr19_29397	29.00	chr19_29397	29.00	1.00	1.00	1.00	0	0	0	0	0	0	0	3.00	0	0	1.00	1.00	1.00	1.00	0	0	0	0	1.00	0	2.00	4.00	1.00	1.00	1.00	0	0	0	1.00	0	0	1.00	1.00	1.00	0	1.00	2.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0.08	0.07	0.07	0	0	0	0	0	0	0	0.24	0	0	0.08	0.07	0.07	0.07	0	0	0	0	0.08	0	0.16	0.30	0.09	0.11	0.08	0	0	0	0.09	0	0	0.08	0.09	0.09	0	0.08	0.16	0.07	0	0	0	0	0.08	0	0	0	0	0	0
chr19_29416	3.00	chr19_29416	3.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_29431	12.00	chr19_29431	12.00	1.00	0	0	1.00	0	0	0	1.00	0	0	0	0	1.00	2.00	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0.08	0	0	0.07	0	0	0	0.08	0	0	0	0	0.04	0.15	0	0.07	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.08	0	0	0	0	0	0	0	0	0.07	0	0	0	0.08
chr19_29456	45.00	chr19_29456	45.00	1.00	0	1.00	0	1.00	1.00	0	0	1.00	1.00	1.00	0	2.00	1.00	0	0	0	4.00	0	0	1.00	2.00	1.00	1.00	3.00	0	3.00	2.00	1.00	0	4.00	1.00	0	1.00	1.00	0	1.00	0	1.00	1.00	0	0	1.00	1.00	2.00	0	0	0	0	2.00	0	1.00	0.08	0	0.07	0	0.07	0.07	0	0	0.07	0.07	0.08	0	0.07	0.08	0	0	0	0.33	0	0	0.08	0.16	0.08	0.08	0.23	0	0.32	0.16	0.09	0	0.36	0.09	0	0.09	0.08	0	0.09	0	0.08	0.08	0	0	0.08	0.07	0.15	0	0	0	0	0.14	0	0.08
chr19_29506	20.00	chr19_29506	20.00	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	2.00	0	0	0	0	0	1.00	0	0	1.00	0	2.00	0	0	0	1.00	0	0	1.00	2.00	0	2.00	0	0	1.00	0	0	1.00	0	0	0	0	0	1.00	0	0	2.00	0	0	0	0	0.07	0.07	0	0	0	0	0.07	0	0	0	0	0.15	0	0	0	0	0	0.08	0	0	0.08	0	0.15	0	0	0	0.09	0	0	0.09	0.17	0	0.17	0	0	0.08	0	0	0.07	0	0	0	0	0	0.07	0	0	0.14	0	0
chr19_29518	21.00	chr19_29518	21.00	0	0	0	0	0	0	1.00	1.00	1.00	0	1.00	0	1.00	1.00	0	1.00	1.00	0	1.00	0	1.00	2.00	0	0	0	1.00	0	0	1.00	1.00	1.00	0	1.00	0	0	0	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.08	0.07	0	0.08	0	0.04	0.08	0	0.07	0.07	0	0.07	0	0.08	0.16	0	0	0	0.09	0	0	0.09	0.10	0.09	0	0.09	0	0	0	0.17	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19_29646	116.00	chr19_29646	116.00	1.00	1.00	2.00	2.00	2.00	3.00	2.00	0	0	1.00	0	3.00	2.00	2.00	1.00	1.00	0	5.00	0	0	2.00	1.00	3.00	0	3.00	2.00	3.00	4.00	2.00	1.00	3.00	1.00	2.00	2.00	4.00	5.00	0	2.00	1.00	2.00	3.00	3.00	6.00	4.00	2.00	5.00	1.00	7.00	1.00	5.00	3.00	5.00	0.08	0.07	0.15	0.14	0.14	0.20	0.13	0	0	0.07	0	0.22	0.07	0.15	0.07	0.07	0	0.41	0	0	0.16	0.08	0.24	0	0.23	0.18	0.32	0.32	0.17	0.10	0.27	0.09	0.17	0.19	0.33	0.44	0	0.17	0.08	0.16	0.21	0.21	0.45	0.29	0.15	0.42	0.07	0.51	0.08	0.34	0.23	0.42
chr19_29686	97.00	chr19_29686	97.00	2.00	2.00	2.00	0	0	1.00	3.00	1.00	3.00	2.00	3.00	3.00	3.00	0	0	2.00	4.00	3.00	3.00	2.00	3.00	3.00	0	3.00	3.00	4.00	2.00	3.00	1.00	1.00	0	2.00	5.00	4.00	2.00	0	1.00	1.00	3.00	3.00	0	1.00	2.00	2.00	1.00	3.00	0	0	1.00	2.00	1.00	1.00	0.15	0.14	0.15	0	0	0.07	0.20	0.08	0.22	0.14	0.24	0.22	0.11	0	0	0.14	0.29	0.25	0.22	0.15	0.24	0.24	0	0.24	0.23	0.35	0.21	0.24	0.09	0.10	0	0.17	0.43	0.37	0.17	0	0.09	0.08	0.25	0.24	0	0.07	0.15	0.14	0.08	0.25	0	0	0.08	0.14	0.08	0.08
