#miRNA	read_count	precursor
hsa-miR-1202	0	hsa-mir-1202
hsa-miR-1203	0	hsa-mir-1203
hsa-miR-1204	0	hsa-mir-1204
hsa-miR-1205	0	hsa-mir-1205
hsa-miR-1206	0	hsa-mir-1206
hsa-miR-1207-5p	0	hsa-mir-1207
hsa-miR-1208	0	hsa-mir-1208
hsa-miR-122-5p	10	hsa-mir-122
hsa-miR-1224-5p	19	hsa-mir-1224
hsa-miR-1225-5p	0	hsa-mir-1225
hsa-miR-1226-5p	0	hsa-mir-1226
hsa-miR-1227-5p	0	hsa-mir-1227
hsa-miR-1228-5p	0	hsa-mir-1228
hsa-miR-1229-5p	0	hsa-mir-1229
hsa-miR-1231	0	hsa-mir-1231
hsa-miR-1233-5p	0	hsa-mir-1233-1
hsa-miR-1233-5p	0	hsa-mir-1233-2
hsa-miR-1236-5p	0	hsa-mir-1236
hsa-miR-1238-5p	0	hsa-mir-1238
hsa-miR-124-5p	0	hsa-mir-124-1
hsa-miR-124-5p	0	hsa-mir-124-2
hsa-miR-124-5p	0	hsa-mir-124-3
hsa-miR-1243	0	hsa-mir-1243
hsa-miR-1245b-5p	0	hsa-mir-1245b
hsa-miR-1246	10	hsa-mir-1246
hsa-miR-1248	5	hsa-mir-1248
hsa-miR-1249-5p	0	hsa-mir-1249
hsa-miR-1250-5p	0	hsa-mir-1250
hsa-miR-1251-5p	2	hsa-mir-1251
hsa-miR-1252-5p	0	hsa-mir-1252
hsa-miR-1253	0	hsa-mir-1253
hsa-miR-1254	968	hsa-mir-1254-1
hsa-miR-1254	968	hsa-mir-1254-2
hsa-miR-1255a	92	hsa-mir-1255a
hsa-miR-1255b-5p	340	hsa-mir-1255b-1
hsa-miR-1255b-5p	340	hsa-mir-1255b-2
hsa-miR-1256	47	hsa-mir-1256
hsa-miR-1257	0	hsa-mir-1257
hsa-miR-125a-5p	17054	hsa-mir-125a
hsa-miR-125b-5p	3969	hsa-mir-125b-1
hsa-miR-125b-5p	3968	hsa-mir-125b-2
hsa-miR-126-5p	16540	hsa-mir-126
hsa-miR-1260a	10864	hsa-mir-1260a
hsa-miR-1260b	11000	hsa-mir-1260b
hsa-miR-1261	0	hsa-mir-1261
hsa-miR-1262	2	hsa-mir-1262
hsa-miR-1263	0	hsa-mir-1263
hsa-miR-1265	0	hsa-mir-1265
hsa-miR-1266-5p	2	hsa-mir-1266
hsa-miR-1267	0	hsa-mir-1267
hsa-miR-1268a	3	hsa-mir-1268a
hsa-miR-1268b	4	hsa-mir-1268b
hsa-miR-1269b	0	hsa-mir-1269b
hsa-miR-127-5p	5	hsa-mir-127
hsa-miR-1270	218	hsa-mir-1270
hsa-miR-1271-5p	49	hsa-mir-1271
hsa-miR-1272	0	hsa-mir-1272
hsa-miR-1273c	12	hsa-mir-1273c
hsa-miR-1273d	7	hsa-mir-1273d
hsa-miR-1273e	0	hsa-mir-1273e
hsa-miR-1273f	1	hsa-mir-1273f
hsa-miR-1273g-5p	0	hsa-mir-1273g
hsa-miR-1273h-5p	11	hsa-mir-1273h
hsa-miR-1275	6	hsa-mir-1275
hsa-miR-1276	13	hsa-mir-1276
hsa-miR-1277-5p	4	hsa-mir-1277
hsa-miR-1279	0	hsa-mir-1279
hsa-miR-128-1-5p	203	hsa-mir-128-1
hsa-miR-128-2-5p	1	hsa-mir-128-2
hsa-miR-1281	0	hsa-mir-1281
hsa-miR-1282	0	hsa-mir-1282
hsa-miR-1283	1	hsa-mir-1283-1
hsa-miR-1283	1	hsa-mir-1283-2
hsa-miR-1284	59	hsa-mir-1284
hsa-miR-1285-5p	324	hsa-mir-1285-1
hsa-miR-1287-5p	171	hsa-mir-1287
hsa-miR-1288-5p	2	hsa-mir-1288
hsa-miR-129-5p	8	hsa-mir-129-1
hsa-miR-129-5p	8	hsa-mir-129-2
hsa-miR-1291	8	hsa-mir-1291
hsa-miR-1292-5p	76	hsa-mir-1292
hsa-miR-1293	0	hsa-mir-1293
hsa-miR-1295b-5p	0	hsa-mir-1295b
hsa-miR-1295b-3p	0	hsa-mir-1295b
hsa-miR-1296-5p	203	hsa-mir-1296
hsa-miR-1298-5p	4	hsa-mir-1298
hsa-miR-1301-5p	0	hsa-mir-1301
hsa-miR-1302	0	hsa-mir-1302-7
hsa-miR-1304-5p	40	hsa-mir-1304
hsa-miR-1306-5p	1449	hsa-mir-1306
hsa-miR-130a-5p	0	hsa-mir-130a
hsa-miR-130b-5p	10170	hsa-mir-130b
hsa-miR-132-5p	32	hsa-mir-132
hsa-miR-1323	0	hsa-mir-1323
hsa-miR-133a-5p	0	hsa-mir-133a-1
hsa-miR-133a-5p	0	hsa-mir-133a-2
hsa-miR-134-5p	141	hsa-mir-134
hsa-miR-1343-5p	0	hsa-mir-1343
hsa-miR-135a-5p	10	hsa-mir-135a-1
hsa-miR-135a-5p	10	hsa-mir-135a-2
hsa-miR-135b-5p	0	hsa-mir-135b
hsa-miR-136-5p	6	hsa-mir-136
hsa-miR-138-5p	4	hsa-mir-138-1
hsa-miR-138-5p	4	hsa-mir-138-2
hsa-miR-139-5p	194	hsa-mir-139
hsa-miR-140-5p	145	hsa-mir-140
hsa-miR-141-5p	1	hsa-mir-141
hsa-miR-142-5p	889573	hsa-mir-142
hsa-miR-143-5p	6	hsa-mir-143
hsa-miR-144-5p	22994	hsa-mir-144
hsa-miR-145-5p	2188	hsa-mir-145
hsa-miR-1468-5p	1868	hsa-mir-1468
hsa-miR-1469	1	hsa-mir-1469
hsa-miR-146a-5p	14818	hsa-mir-146a
hsa-miR-146b-5p	13487	hsa-mir-146b
hsa-miR-1470	0	hsa-mir-1470
hsa-miR-1471	0	hsa-mir-1471
hsa-miR-148a-5p	4973	hsa-mir-148a
hsa-miR-148b-5p	2650	hsa-mir-148b
hsa-miR-149-5p	17	hsa-mir-149
hsa-miR-150-5p	90541	hsa-mir-150
hsa-miR-151a-5p	204275	hsa-mir-151a
hsa-miR-152-5p	16	hsa-mir-152
hsa-miR-153-5p	0	hsa-mir-153-2
hsa-miR-1537-5p	0	hsa-mir-1537
hsa-miR-1539	0	hsa-mir-1539
hsa-miR-154-5p	9	hsa-mir-154
hsa-miR-155-5p	1397	hsa-mir-155
hsa-miR-1587	0	hsa-mir-1587
hsa-miR-15a-5p	32886	hsa-mir-15a
hsa-miR-15b-5p	22965	hsa-mir-15b
hsa-miR-16-5p	756669	hsa-mir-16-1
hsa-miR-16-5p	757122	hsa-mir-16-2
hsa-miR-17-5p	6630	hsa-mir-17
hsa-miR-181a-5p	989478	hsa-mir-181a-1
hsa-miR-181b-5p	11862	hsa-mir-181b-1
hsa-miR-181b-5p	11951	hsa-mir-181b-2
hsa-miR-181c-5p	5990	hsa-mir-181c
hsa-miR-181d-5p	329	hsa-mir-181d
hsa-miR-182-5p	3375506	hsa-mir-182
hsa-miR-1825	0	hsa-mir-1825
hsa-miR-183-5p	26385	hsa-mir-183
hsa-miR-185-5p	62451	hsa-mir-185
hsa-miR-186-5p	832757	hsa-mir-186
hsa-miR-187-5p	0	hsa-mir-187
hsa-miR-188-5p	80	hsa-mir-188
hsa-miR-18a-5p	604	hsa-mir-18a
hsa-miR-18b-5p	65	hsa-mir-18b
hsa-miR-1908-5p	68	hsa-mir-1908
hsa-miR-1909-5p	1	hsa-mir-1909
hsa-miR-190a-5p	260	hsa-mir-190a
hsa-miR-190b	54	hsa-mir-190b
hsa-miR-191-5p	4637868	hsa-mir-191
hsa-miR-1910-5p	28	hsa-mir-1910
hsa-miR-1911-5p	0	hsa-mir-1911
hsa-miR-1914-5p	5	hsa-mir-1914
hsa-miR-1915-5p	0	hsa-mir-1915
hsa-miR-192-5p	1409496	hsa-mir-192
hsa-miR-193a-5p	386	hsa-mir-193a
hsa-miR-193b-5p	2	hsa-mir-193b
hsa-miR-194-5p	16536	hsa-mir-194-1
hsa-miR-194-5p	17358	hsa-mir-194-2
hsa-miR-195-5p	29	hsa-mir-195
hsa-miR-196a-5p	5	hsa-mir-196a-1
hsa-miR-196a-5p	5	hsa-mir-196a-2
hsa-miR-196b-5p	336	hsa-mir-196b
hsa-miR-197-5p	15	hsa-mir-197
hsa-miR-1973	0	hsa-mir-1973
hsa-miR-1976	313	hsa-mir-1976
hsa-miR-198	0	hsa-mir-198
hsa-miR-199a-5p	2162	hsa-mir-199a-1
hsa-miR-199a-5p	2162	hsa-mir-199a-2
hsa-miR-199b-5p	892	hsa-mir-199b
hsa-miR-19a-5p	5	hsa-mir-19a
hsa-miR-19b-1-5p	2	hsa-mir-19b-1
hsa-miR-19b-2-5p	0	hsa-mir-19b-2
hsa-miR-200a-5p	0	hsa-mir-200a
hsa-miR-200b-5p	1	hsa-mir-200b
hsa-miR-200c-5p	1	hsa-mir-200c
hsa-miR-202-5p	26	hsa-mir-202
hsa-miR-203a-5p	0	hsa-mir-203a
hsa-miR-203b-5p	0	hsa-mir-203b
hsa-miR-204-5p	436	hsa-mir-204
hsa-miR-205-5p	4	hsa-mir-205
hsa-miR-2052	0	hsa-mir-2052
hsa-miR-2054	0	hsa-mir-2054
hsa-miR-208a-5p	0	hsa-mir-208a
hsa-miR-208b-5p	0	hsa-mir-208b
hsa-miR-20a-5p	2071	hsa-mir-20a
hsa-miR-20b-5p	1189	hsa-mir-20b
hsa-miR-21-5p	27050	hsa-mir-21
hsa-miR-210-5p	742	hsa-mir-210
hsa-miR-211-5p	66	hsa-mir-211
hsa-miR-2110	1521	hsa-mir-2110
hsa-miR-2114-5p	2	hsa-mir-2114
hsa-miR-2115-5p	16	hsa-mir-2115
hsa-miR-2116-5p	2	hsa-mir-2116
hsa-miR-212-5p	21	hsa-mir-212
hsa-miR-214-5p	1	hsa-mir-214
hsa-miR-215-5p	2146	hsa-mir-215
hsa-miR-216a-5p	0	hsa-mir-216a
hsa-miR-216b-5p	1	hsa-mir-216b
hsa-miR-217	0	hsa-mir-217
hsa-miR-218-5p	56	hsa-mir-218-1
hsa-miR-218-5p	56	hsa-mir-218-2
hsa-miR-219a-5p	5	hsa-mir-219a-1
hsa-miR-219a-5p	1	hsa-mir-219a-2
hsa-miR-219b-5p	31	hsa-mir-219b
hsa-miR-22-5p	768	hsa-mir-22
hsa-miR-221-5p	65	hsa-mir-221
hsa-miR-222-5p	10	hsa-mir-222
hsa-miR-223-5p	68	hsa-mir-223
hsa-miR-224-5p	14	hsa-mir-224
hsa-miR-2276-5p	4	hsa-mir-2276
hsa-miR-2277-5p	110	hsa-mir-2277
hsa-miR-2278	10	hsa-mir-2278
hsa-miR-2355-5p	85	hsa-mir-2355
hsa-miR-23a-5p	28	hsa-mir-23a
hsa-miR-23b-5p	5	hsa-mir-23b
hsa-miR-24-1-5p	2	hsa-mir-24-1
hsa-miR-24-2-5p	121	hsa-mir-24-2
hsa-miR-2467-5p	13	hsa-mir-2467
hsa-miR-25-5p	322	hsa-mir-25
hsa-miR-2681-5p	2	hsa-mir-2681
hsa-miR-2682-5p	0	hsa-mir-2682
hsa-miR-26a-5p	375452	hsa-mir-26a-1
hsa-miR-26a-5p	375556	hsa-mir-26a-2
hsa-miR-26b-5p	24799	hsa-mir-26b
hsa-miR-27a-5p	52	hsa-mir-27a
hsa-miR-27b-5p	40	hsa-mir-27b
hsa-miR-28-5p	2651	hsa-mir-28
hsa-miR-2909	0	hsa-mir-2909
hsa-miR-296-5p	1422	hsa-mir-296
hsa-miR-297	0	hsa-mir-297
hsa-miR-298	0	hsa-mir-298
hsa-miR-299-5p	2	hsa-mir-299
hsa-miR-299-3p	0	hsa-mir-299
hsa-miR-29a-5p	1	hsa-mir-29a
hsa-miR-29b-1-5p	2	hsa-mir-29b-1
hsa-miR-29b-2-5p	126	hsa-mir-29b-2
hsa-miR-29c-5p	1356	hsa-mir-29c
hsa-miR-301a-5p	29	hsa-mir-301a
hsa-miR-301b-5p	0	hsa-mir-301b
hsa-miR-302a-5p	0	hsa-mir-302a
hsa-miR-302b-5p	0	hsa-mir-302b
hsa-miR-302c-5p	0	hsa-mir-302c
hsa-miR-302d-5p	0	hsa-mir-302d
hsa-miR-302e	0	hsa-mir-302e
hsa-miR-302f	0	hsa-mir-302f
hsa-miR-3064-5p	3	hsa-mir-3064
hsa-miR-3065-5p	6	hsa-mir-3065
hsa-miR-3074-5p	1319	hsa-mir-3074
hsa-miR-30a-5p	9521	hsa-mir-30a
hsa-miR-30b-5p	73057	hsa-mir-30b
hsa-miR-30c-5p	252929	hsa-mir-30c-1
hsa-miR-30c-5p	252972	hsa-mir-30c-2
hsa-miR-30d-5p	1031986	hsa-mir-30d
hsa-miR-30e-5p	87982	hsa-mir-30e
hsa-miR-31-5p	51	hsa-mir-31
hsa-miR-3115	2	hsa-mir-3115
hsa-miR-3117-5p	0	hsa-mir-3117
hsa-miR-3119	0	hsa-mir-3119-1
hsa-miR-3119	0	hsa-mir-3119-2
hsa-miR-3120-5p	1	hsa-mir-3120
hsa-miR-3121-5p	3	hsa-mir-3121
hsa-miR-3122	13	hsa-mir-3122
hsa-miR-3124-5p	22	hsa-mir-3124
hsa-miR-3125	5	hsa-mir-3125
hsa-miR-3126-5p	0	hsa-mir-3126
hsa-miR-3127-5p	94	hsa-mir-3127
hsa-miR-3128	59	hsa-mir-3128
hsa-miR-3129-5p	0	hsa-mir-3129
hsa-miR-3130-5p	501	hsa-mir-3130-1
hsa-miR-3130-5p	493	hsa-mir-3130-2
hsa-miR-3131	1	hsa-mir-3131
hsa-miR-3132	0	hsa-mir-3132
hsa-miR-3133	103	hsa-mir-3133
hsa-miR-3135a	31	hsa-mir-3135a
hsa-miR-3135b	1	hsa-mir-3135b
hsa-miR-3136-5p	21	hsa-mir-3136
hsa-miR-3137	3	hsa-mir-3137
hsa-miR-3139	21	hsa-mir-3139
hsa-miR-3140-5p	3	hsa-mir-3140
hsa-miR-3141	0	hsa-mir-3141
hsa-miR-3142	0	hsa-mir-3142
hsa-miR-3143	69	hsa-mir-3143
hsa-miR-3144-5p	2	hsa-mir-3144
hsa-miR-3145-5p	0	hsa-mir-3145
hsa-miR-3147	0	hsa-mir-3147
hsa-miR-3148	0	hsa-mir-3148
hsa-miR-3150a-5p	96	hsa-mir-3150a
hsa-miR-3150b-5p	2	hsa-mir-3150b
hsa-miR-3151-5p	0	hsa-mir-3151
hsa-miR-3152-5p	0	hsa-mir-3152
hsa-miR-3155b	1	hsa-mir-3155b
hsa-miR-3156-5p	0	hsa-mir-3156-1
hsa-miR-3156-5p	0	hsa-mir-3156-2
hsa-miR-3156-5p	0	hsa-mir-3156-3
hsa-miR-3157-5p	33	hsa-mir-3157
hsa-miR-3158-5p	44	hsa-mir-3158-1
hsa-miR-3158-5p	42	hsa-mir-3158-2
hsa-miR-3159	14	hsa-mir-3159
hsa-miR-3160-5p	3	hsa-mir-3160-1
hsa-miR-3160-5p	3	hsa-mir-3160-2
hsa-miR-3161	33	hsa-mir-3161
hsa-miR-3162-5p	0	hsa-mir-3162
hsa-miR-3163	164	hsa-mir-3163
hsa-miR-3164	2	hsa-mir-3164
hsa-miR-3165	13	hsa-mir-3165
hsa-miR-3168	1	hsa-mir-3168
hsa-miR-3169	0	hsa-mir-3169
hsa-miR-3170	0	hsa-mir-3170
hsa-miR-3171	0	hsa-mir-3171
hsa-miR-3173-5p	584	hsa-mir-3173
hsa-miR-3174	10	hsa-mir-3174
hsa-miR-3175	15	hsa-mir-3175
hsa-miR-3177-5p	7	hsa-mir-3177
hsa-miR-3178	0	hsa-mir-3178
hsa-miR-3180-5p	30	hsa-mir-3180-1
hsa-miR-3180-5p	30	hsa-mir-3180-2
hsa-miR-3180-5p	30	hsa-mir-3180-3
hsa-miR-3180-3p	8	hsa-mir-3180-4
hsa-miR-3180	8	hsa-mir-3180-4
hsa-miR-3180-3p	8	hsa-mir-3180-5
hsa-miR-3180	8	hsa-mir-3180-5
hsa-miR-3181	0	hsa-mir-3181
hsa-miR-3182	0	hsa-mir-3182
hsa-miR-3183	1	hsa-mir-3183
hsa-miR-3184-5p	3	hsa-mir-3184
hsa-miR-3185	0	hsa-mir-3185
hsa-miR-3186-5p	0	hsa-mir-3186
hsa-miR-3187-5p	4	hsa-mir-3187
hsa-miR-3189-5p	0	hsa-mir-3189
hsa-miR-3190-5p	0	hsa-mir-3190
hsa-miR-3191-5p	3	hsa-mir-3191
hsa-miR-3192-5p	0	hsa-mir-3192
hsa-miR-3193	0	hsa-mir-3193
hsa-miR-3194-5p	2	hsa-mir-3194
hsa-miR-3195	0	hsa-mir-3195
hsa-miR-3196	5	hsa-mir-3196
hsa-miR-3197	0	hsa-mir-3197
hsa-miR-3199	18	hsa-mir-3199-1
hsa-miR-3199	18	hsa-mir-3199-2
hsa-miR-32-5p	82	hsa-mir-32
hsa-miR-3200-5p	1424	hsa-mir-3200
hsa-miR-3201	0	hsa-mir-3201
hsa-miR-3202	50	hsa-mir-3202-1
hsa-miR-3202	17	hsa-mir-3202-2
hsa-miR-320b	57327	hsa-mir-320b-1
hsa-miR-320c	246	hsa-mir-320c-2
hsa-miR-320d	33	hsa-mir-320d-1
hsa-miR-320d	33	hsa-mir-320d-2
hsa-miR-320e	2	hsa-mir-320e
hsa-miR-323a-5p	2	hsa-mir-323a
hsa-miR-323b-5p	0	hsa-mir-323b
hsa-miR-324-5p	8490	hsa-mir-324
hsa-miR-325	0	hsa-mir-325
hsa-miR-328-5p	0	hsa-mir-328
hsa-miR-329-5p	0	hsa-mir-329-1
hsa-miR-329-5p	0	hsa-mir-329-2
hsa-miR-330-5p	1047	hsa-mir-330
hsa-miR-331-5p	218	hsa-mir-331
hsa-miR-335-5p	1010	hsa-mir-335
hsa-miR-337-5p	1	hsa-mir-337
hsa-miR-338-5p	39	hsa-mir-338
hsa-miR-339-5p	5385	hsa-mir-339
hsa-miR-33a-5p	2	hsa-mir-33a
hsa-miR-33b-5p	260	hsa-mir-33b
hsa-miR-340-5p	3089	hsa-mir-340
hsa-miR-342-5p	777	hsa-mir-342
hsa-miR-345-5p	30085	hsa-mir-345
hsa-miR-346	6	hsa-mir-346
hsa-miR-34a-5p	13	hsa-mir-34a
hsa-miR-34b-5p	2	hsa-mir-34b
hsa-miR-34c-5p	4	hsa-mir-34c
hsa-miR-3529-5p	1	hsa-mir-3529
hsa-miR-3591-5p	0	hsa-mir-3591
hsa-miR-3605-5p	80	hsa-mir-3605
hsa-miR-3606-5p	0	hsa-mir-3606
hsa-miR-3607-5p	0	hsa-mir-3607
hsa-miR-361-5p	3989	hsa-mir-361
hsa-miR-3612	0	hsa-mir-3612
hsa-miR-3613-5p	73	hsa-mir-3613
hsa-miR-3614-5p	240	hsa-mir-3614
hsa-miR-3616-5p	0	hsa-mir-3616
hsa-miR-3617-5p	3	hsa-mir-3617
hsa-miR-3619-5p	0	hsa-mir-3619
hsa-miR-362-5p	1545	hsa-mir-362
hsa-miR-3620-5p	14	hsa-mir-3620
hsa-miR-3621	0	hsa-mir-3621
hsa-miR-3622a-5p	0	hsa-mir-3622a
hsa-miR-3622b-5p	0	hsa-mir-3622b
hsa-miR-363-5p	16	hsa-mir-363
hsa-miR-3648	2	hsa-mir-3648-1
hsa-miR-3648	2	hsa-mir-3648-2
hsa-miR-3650	0	hsa-mir-3650
hsa-miR-3652	0	hsa-mir-3652
hsa-miR-3653-5p	8	hsa-mir-3653
hsa-miR-3654	0	hsa-mir-3654
hsa-miR-3655	0	hsa-mir-3655
hsa-miR-3658	0	hsa-mir-3658
hsa-miR-365a-5p	0	hsa-mir-365a
hsa-miR-365b-5p	13	hsa-mir-365b
hsa-miR-3661	194	hsa-mir-3661
hsa-miR-3663-5p	0	hsa-mir-3663
hsa-miR-3664-5p	0	hsa-mir-3664
hsa-miR-3665	0	hsa-mir-3665
hsa-miR-3666	0	hsa-mir-3666
hsa-miR-3667-5p	35	hsa-mir-3667
hsa-miR-3668	0	hsa-mir-3668
hsa-miR-367-5p	0	hsa-mir-367
hsa-miR-3672	0	hsa-mir-3672
hsa-miR-3674	0	hsa-mir-3674
hsa-miR-3675-5p	10	hsa-mir-3675
hsa-miR-3677-5p	0	hsa-mir-3677
hsa-miR-3677-3p	23	hsa-mir-3677
hsa-miR-3678-5p	0	hsa-mir-3678
hsa-miR-3679-5p	1	hsa-mir-3679
hsa-miR-3680-5p	10	hsa-mir-3680-1
hsa-miR-3680-5p	10	hsa-mir-3680-2
hsa-miR-3681-5p	0	hsa-mir-3681
hsa-miR-3682-5p	2	hsa-mir-3682
hsa-miR-3683	0	hsa-mir-3683
hsa-miR-3685	38	hsa-mir-3685
hsa-miR-3687	16	hsa-mir-3687-1
hsa-miR-3687	16	hsa-mir-3687-2
hsa-miR-3688-5p	3	hsa-mir-3688-1
hsa-miR-3688-5p	5	hsa-mir-3688-2
hsa-miR-3689a-5p	0	hsa-mir-3689a
hsa-miR-3689d	0	hsa-mir-3689d-1
hsa-miR-3689d	0	hsa-mir-3689d-2
hsa-miR-3689e	0	hsa-mir-3689e
hsa-miR-3689f	0	hsa-mir-3689f
hsa-miR-369-5p	36	hsa-mir-369
hsa-miR-3690	60	hsa-mir-3690-1
hsa-miR-3690	60	hsa-mir-3690-2
hsa-miR-3691-5p	90	hsa-mir-3691
hsa-miR-3692-5p	0	hsa-mir-3692
hsa-miR-370-5p	1	hsa-mir-370
hsa-miR-3713	0	hsa-mir-3713
hsa-miR-3714	0	hsa-mir-3714
hsa-miR-371a-5p	0	hsa-mir-371a
hsa-miR-371b-5p	169	hsa-mir-371b
hsa-miR-372-5p	0	hsa-mir-372
hsa-miR-373-5p	0	hsa-mir-373
hsa-miR-374a-5p	256	hsa-mir-374a
hsa-miR-374b-5p	996	hsa-mir-374b
hsa-miR-374c-5p	20	hsa-mir-374c
hsa-miR-374c-3p	0	hsa-mir-374c
hsa-miR-376a-5p	3	hsa-mir-376a-1
hsa-miR-376a-2-5p	0	hsa-mir-376a-2
hsa-miR-376b-5p	0	hsa-mir-376b
hsa-miR-376c-5p	0	hsa-mir-376c
hsa-miR-377-5p	25	hsa-mir-377
hsa-miR-378a-5p	2606	hsa-mir-378a
hsa-miR-378b	3	hsa-mir-378b
hsa-miR-378c	10574	hsa-mir-378c
hsa-miR-378d	156	hsa-mir-378d-1
hsa-miR-378d	160	hsa-mir-378d-2
hsa-miR-378g	185	hsa-mir-378g
hsa-miR-378h	5	hsa-mir-378h
hsa-miR-378i	8969	hsa-mir-378i
hsa-miR-378j	1	hsa-mir-378j
hsa-miR-379-5p	6	hsa-mir-379
hsa-miR-380-5p	0	hsa-mir-380
hsa-miR-381-5p	0	hsa-mir-381
hsa-miR-382-5p	36	hsa-mir-382
hsa-miR-383-5p	0	hsa-mir-383
hsa-miR-3908	0	hsa-mir-3908
hsa-miR-3911	0	hsa-mir-3911
hsa-miR-3912-5p	0	hsa-mir-3912
hsa-miR-3913-5p	240	hsa-mir-3913-1
hsa-miR-3913-5p	240	hsa-mir-3913-2
hsa-miR-3915	0	hsa-mir-3915
hsa-miR-3916	0	hsa-mir-3916
hsa-miR-3918	8	hsa-mir-3918
hsa-miR-3922-5p	1	hsa-mir-3922
hsa-miR-3925-5p	0	hsa-mir-3925
hsa-miR-3926	0	hsa-mir-3926-1
hsa-miR-3926	0	hsa-mir-3926-2
hsa-miR-3927-5p	0	hsa-mir-3927
hsa-miR-3928-5p	3	hsa-mir-3928
hsa-miR-3928-3p	30	hsa-mir-3928
hsa-miR-3929	0	hsa-mir-3929
hsa-miR-3934-5p	13	hsa-mir-3934
hsa-miR-3940-5p	0	hsa-mir-3940
hsa-miR-3942-5p	33	hsa-mir-3942
hsa-miR-3943	0	hsa-mir-3943
hsa-miR-3944-5p	94	hsa-mir-3944
hsa-miR-3945	0	hsa-mir-3945
hsa-miR-3974	0	hsa-mir-3974
hsa-miR-3976	0	hsa-mir-3976
hsa-miR-3977	0	hsa-mir-3977
hsa-miR-3978	0	hsa-mir-3978
hsa-miR-409-5p	3	hsa-mir-409
hsa-miR-410-5p	0	hsa-mir-410
hsa-miR-411-5p	12	hsa-mir-411
hsa-miR-412-5p	3	hsa-mir-412
hsa-miR-422a	71	hsa-mir-422a
hsa-miR-423-5p	628155	hsa-mir-423
hsa-miR-424-5p	115	hsa-mir-424
hsa-miR-425-5p	756004	hsa-mir-425
hsa-miR-4251	0	hsa-mir-4251
hsa-miR-4252	0	hsa-mir-4252
hsa-miR-4253	0	hsa-mir-4253
hsa-miR-4255	0	hsa-mir-4255
hsa-miR-4256	0	hsa-mir-4256
hsa-miR-4258	0	hsa-mir-4258
hsa-miR-4260	0	hsa-mir-4260
hsa-miR-4261	0	hsa-mir-4261
hsa-miR-4262	0	hsa-mir-4262
hsa-miR-4264	0	hsa-mir-4264
hsa-miR-4266	0	hsa-mir-4266
hsa-miR-4267	0	hsa-mir-4267
hsa-miR-4268	0	hsa-mir-4268
hsa-miR-4269	0	hsa-mir-4269
hsa-miR-4270	0	hsa-mir-4270
hsa-miR-4271	0	hsa-mir-4271
hsa-miR-4272	0	hsa-mir-4272
hsa-miR-4273	0	hsa-mir-4273
hsa-miR-4275	0	hsa-mir-4275
hsa-miR-4276	0	hsa-mir-4276
hsa-miR-4277	0	hsa-mir-4277
hsa-miR-4278	0	hsa-mir-4278
hsa-miR-4279	0	hsa-mir-4279
hsa-miR-4280	0	hsa-mir-4280
hsa-miR-4281	0	hsa-mir-4281
hsa-miR-4282	0	hsa-mir-4282
hsa-miR-4283	0	hsa-mir-4283-1
hsa-miR-4283	0	hsa-mir-4283-2
hsa-miR-4284	0	hsa-mir-4284
hsa-miR-4285	0	hsa-mir-4285
hsa-miR-4286	860	hsa-mir-4286
hsa-miR-4287	0	hsa-mir-4287
hsa-miR-4288	0	hsa-mir-4288
hsa-miR-4289	0	hsa-mir-4289
hsa-miR-4291	0	hsa-mir-4291
hsa-miR-4292	0	hsa-mir-4292
hsa-miR-4294	0	hsa-mir-4294
hsa-miR-4295	0	hsa-mir-4295
hsa-miR-4296	0	hsa-mir-4296
hsa-miR-4297	0	hsa-mir-4297
hsa-miR-4298	0	hsa-mir-4298
hsa-miR-4301	42	hsa-mir-4301
hsa-miR-4302	0	hsa-mir-4302
hsa-miR-4303	0	hsa-mir-4303
hsa-miR-4304	0	hsa-mir-4304
hsa-miR-4305	0	hsa-mir-4305
hsa-miR-4309	0	hsa-mir-4309
hsa-miR-431-5p	150	hsa-mir-431
hsa-miR-4310	0	hsa-mir-4310
hsa-miR-4311	0	hsa-mir-4311
hsa-miR-4313	0	hsa-mir-4313
hsa-miR-4314	0	hsa-mir-4314
hsa-miR-4315	0	hsa-mir-4315-1
hsa-miR-4315	0	hsa-mir-4315-2
hsa-miR-4316	0	hsa-mir-4316
hsa-miR-4317	0	hsa-mir-4317
hsa-miR-4319	0	hsa-mir-4319
hsa-miR-432-5p	41	hsa-mir-432
hsa-miR-4320	0	hsa-mir-4320
hsa-miR-4323	5	hsa-mir-4323
hsa-miR-4325	0	hsa-mir-4325
hsa-miR-4326	5553	hsa-mir-4326
hsa-miR-4327	0	hsa-mir-4327
hsa-miR-4328	0	hsa-mir-4328
hsa-miR-433-5p	0	hsa-mir-433
hsa-miR-4417	0	hsa-mir-4417
hsa-miR-4418	0	hsa-mir-4418
hsa-miR-4419a	0	hsa-mir-4419a
hsa-miR-4419b	0	hsa-mir-4419b
hsa-miR-4422	4	hsa-mir-4422
hsa-miR-4423-5p	1	hsa-mir-4423
hsa-miR-4424	1	hsa-mir-4424
hsa-miR-4426	0	hsa-mir-4426
hsa-miR-4429	7	hsa-mir-4429
hsa-miR-4430	0	hsa-mir-4430
hsa-miR-4431	0	hsa-mir-4431
hsa-miR-4433a-5p	54	hsa-mir-4433a
hsa-miR-4433b-5p	1491	hsa-mir-4433b
hsa-miR-4434	0	hsa-mir-4434
hsa-miR-4435	1903	hsa-mir-4435-1
