#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
hsa-miR-185-5p	62451.00	hsa-mir-185	62451.00	1169.00	1029.00	729.00	958.00	755.00	899.00	808.00	1783.00	948.00	843.00	1804.00	1075.00	2063.00	1649.00	156.00	1638.00	2027.00	1804.00	2768.00	976.00	1146.00	1685.00	877.00	1148.00	1498.00	996.00	1916.00	959.00	1169.00	987.00	803.00	2055.00	1435.00	2199.00	1431.00	520.00	1321.00	551.00	548.00	597.00	690.00	624.00	627.00	1197.00	2335.00	918.00	1572.00	1444.00	556.00	999.00	842.00	925.00	90.45	73.11	54.35	69.37	51.96	61.19	53.17	142.04	68.21	57.89	143.38	79.68	77.38	124.24	10.62	118.50	148.17	148.09	203.40	75.69	90.16	134.32	68.90	92.26	113.23	87.63	204.84	77.02	99.73	95.69	72.87	178.86	123.94	206.10	118.33	46.27	115.62	45.96	46.38	47.07	48.87	43.24	47.40	86.40	178.32	76.68	116.42	105.18	43.60	67.85	64.95	77.59
hsa-miR-186-5p	832758.00	hsa-mir-186	832758.00	19244.00	11794.00	12971.00	15863.00	20319.00	17088.00	15898.00	12192.00	12511.00	19415.00	13584.00	13530.00	33046.00	18030.00	5876.00	13031.00	15144.00	6965.00	13949.00	10091.00	14299.00	16193.00	15348.00	14549.00	13168.00	6314.00	11323.00	12372.00	14480.00	13997.00	12364.00	11113.00	11041.00	16648.00	12167.00	5498.00	13284.00	11410.00	9782.00	10010.00	8393.00	1779.00	9015.00	25183.00	45426.00	26829.00	22793.00	22757.00	22528.00	29150.00	32260.00	40744.00	1488.91	837.91	967.04	1148.59	1398.37	1163.17	1046.13	971.24	900.13	1333.17	1079.61	1002.89	1239.54	1358.45	399.99	942.76	1107.02	571.75	1025.02	782.58	1124.98	1290.84	1205.76	1169.20	995.33	555.50	1210.56	993.65	1235.37	1357.01	1122.01	967.23	953.58	1560.32	1006.11	489.20	1162.71	951.64	827.97	789.19	594.45	123.27	681.52	1817.65	3469.04	2241.03	1688.03	1657.65	1766.45	1979.75	2488.29	3417.80
hsa-miR-187-5p	0.00	hsa-mir-187	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-188-5p	80.00	hsa-mir-188	80.00	1.00	1.00	1.00	1.00	0	5.00	4.00	0	2.00	1.00	2.00	2.00	1.00	6.00	0	3.00	2.00	1.00	1.00	0	2.00	0	1.00	2.00	2.00	0	2.00	3.00	0	0	2.00	0	2.00	4.00	1.00	0	1.00	1.00	0	1.00	1.00	0	0	1.00	2.00	2.00	1.00	8.00	0	3.00	3.00	1.00	0.08	0.07	0.07	0.07	0	0.34	0.26	0	0.14	0.07	0.16	0.15	0.04	0.45	0	0.22	0.15	0.08	0.07	0	0.16	0	0.08	0.16	0.15	0	0.21	0.24	0	0	0.18	0	0.17	0.37	0.08	0	0.09	0.08	0	0.08	0.07	0	0	0.07	0.15	0.17	0.07	0.58	0	0.20	0.23	0.08
hsa-miR-18a-5p	604.00	hsa-mir-18a	604.00	26.00	15.00	11.00	15.00	10.00	11.00	13.00	34.00	6.00	7.00	6.00	15.00	15.00	12.00	2.00	27.00	8.00	7.00	21.00	3.00	5.00	14.00	9.00	5.00	10.00	5.00	8.00	6.00	2.00	15.00	6.00	5.00	3.00	11.00	8.00	5.00	12.00	9.00	8.00	3.00	2.00	1.00	2.00	9.00	2.00	13.00	3.00	114.00	2.00	27.00	7.00	9.00	2.01	1.07	0.82	1.09	0.69	0.75	0.86	2.71	0.43	0.48	0.48	1.11	0.56	0.90	0.14	1.95	0.58	0.57	1.54	0.23	0.39	1.12	0.71	0.40	0.76	0.44	0.86	0.48	0.17	1.45	0.54	0.44	0.26	1.03	0.66	0.44	1.05	0.75	0.68	0.24	0.14	0.07	0.15	0.65	0.15	1.09	0.22	8.30	0.16	1.83	0.54	0.75
hsa-miR-18b-5p	65.00	hsa-mir-18b	65.00	2.00	2.00	1.00	0	5.00	2.00	3.00	2.00	1.00	0	2.00	3.00	1.00	1.00	0	3.00	0	1.00	1.00	0	0	0	1.00	2.00	1.00	1.00	1.00	0	0	4.00	0	0	1.00	5.00	0	0	0	0	3.00	1.00	0	0	0	1.00	0	5.00	0	6.00	1.00	2.00	0	0	0.15	0.14	0.07	0	0.34	0.14	0.20	0.16	0.07	0	0.16	0.22	0.04	0.08	0	0.22	0	0.08	0.07	0	0	0	0.08	0.16	0.08	0.09	0.11	0	0	0.39	0	0	0.09	0.47	0	0	0	0	0.25	0.08	0	0	0	0.07	0	0.42	0	0.44	0.08	0.14	0	0
hsa-miR-1908-5p	68.00	hsa-mir-1908	68.00	4.00	0	1.00	1.00	1.00	3.00	3.00	1.00	1.00	4.00	3.00	0	1.00	1.00	0	1.00	1.00	1.00	1.00	1.00	0	1.00	0	6.00	0	3.00	1.00	1.00	0	0	1.00	5.00	2.00	0	3.00	2.00	0	2.00	1.00	2.00	0	0	0	2.00	1.00	3.00	2.00	0	1.00	0	0	0	0.31	0	0.07	0.07	0.07	0.20	0.20	0.08	0.07	0.27	0.24	0	0.04	0.08	0	0.07	0.07	0.08	0.07	0.08	0	0.08	0	0.48	0	0.26	0.11	0.08	0	0	0.09	0.44	0.17	0	0.25	0.18	0	0.17	0.08	0.16	0	0	0	0.14	0.08	0.25	0.15	0	0.08	0	0	0
hsa-miR-1909-5p	1.00	hsa-mir-1909	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-190a-5p	260.00	hsa-mir-190a	260.00	9.00	2.00	1.00	11.00	3.00	5.00	5.00	2.00	4.00	1.00	3.00	9.00	11.00	6.00	0	2.00	4.00	10.00	15.00	9.00	4.00	9.00	10.00	5.00	5.00	2.00	3.00	2.00	5.00	9.00	4.00	5.00	9.00	11.00	3.00	1.00	15.00	5.00	4.00	0	1.00	2.00	0	2.00	0	6.00	3.00	16.00	1.00	2.00	1.00	3.00	0.70	0.14	0.07	0.80	0.21	0.34	0.33	0.16	0.29	0.07	0.24	0.67	0.41	0.45	0	0.14	0.29	0.82	1.10	0.70	0.31	0.72	0.79	0.40	0.38	0.18	0.32	0.16	0.43	0.87	0.36	0.44	0.78	1.03	0.25	0.09	1.31	0.42	0.34	0	0.07	0.14	0	0.14	0	0.50	0.22	1.17	0.08	0.14	0.08	0.25
hsa-miR-190b	54.00	hsa-mir-190b	54.00	3.00	0	0	1.00	0	1.00	3.00	0	1.00	1.00	0	0	2.00	0	0	3.00	1.00	0	5.00	0	0	2.00	3.00	1.00	1.00	3.00	0	0	0	1.00	1.00	0	3.00	1.00	3.00	0	0	3.00	1.00	1.00	0	0	0	0	0	1.00	1.00	5.00	0	0	0	2.00	0.23	0	0	0.07	0	0.07	0.20	0	0.07	0.07	0	0	0.08	0	0	0.22	0.07	0	0.37	0	0	0.16	0.24	0.08	0.08	0.26	0	0	0	0.10	0.09	0	0.26	0.09	0.25	0	0	0.25	0.08	0.08	0	0	0	0	0	0.08	0.07	0.36	0	0	0	0.17
hsa-miR-191-5p	4637868.00	hsa-mir-191	4637868.00	85875.00	64824.00	91432.00	82484.00	113968.00	102024.00	96280.00	99668.00	47486.00	93889.00	71396.00	63096.00	89562.00	103173.00	87118.00	69185.00	64717.00	44893.00	71732.00	62755.00	92997.00	96413.00	137585.00	76845.00	64459.00	37019.00	59044.00	64936.00	60872.00	73882.00	69638.00	99034.00	60144.00	67622.00	77326.00	78868.00	92687.00	78091.00	95770.00	115946.00	72283.00	12764.00	42478.00	112511.00	249371.00	168490.00	136237.00	183651.00	79061.00	134574.00	125851.00	115862.00	6644.14	4605.46	6816.61	5972.40	7843.34	6944.73	6335.47	7939.74	3416.48	6447.09	5674.31	4676.91	3359.44	7773.43	5930.24	5005.34	4730.80	3685.23	5271.10	4866.81	7316.57	7685.63	10808.83	6175.46	4872.25	3256.89	6312.51	5215.28	5193.31	7162.87	6319.52	8619.55	5194.49	6337.82	6394.21	7017.46	8112.61	6513.08	8106.18	9141.22	5119.57	884.42	3211.29	8120.79	19043.66	14074.00	10089.60	13377.38	6199.26	9139.71	9707.18	9719.06
hsa-miR-1910-5p	28.00	hsa-mir-1910	28.00	1.00	1.00	0	0	0	0	1.00	1.00	0	1.00	0	0	1.00	1.00	0	1.00	0	0	3.00	0	0	0	0	2.00	0	2.00	2.00	0	0	1.00	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	4.00	1.00	1.00	0	0	0	1.00	1.00	0.08	0.07	0	0	0	0	0.07	0.08	0	0.07	0	0	0.04	0.08	0	0.07	0	0	0.22	0	0	0	0	0.16	0	0.18	0.21	0	0	0.10	0	0	0	0.09	0	0	0.09	0	0	0	0	0	0	0	0.31	0.08	0.07	0	0	0	0.08	0.08
hsa-miR-1911-5p	0.00	hsa-mir-1911	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1914-5p	5.00	hsa-mir-1914	5.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.07	0	0	0	0.07	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0
hsa-miR-1915-5p	0.00	hsa-mir-1915	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-5p	1409496.00	hsa-mir-192	1409496.00	29481.00	16457.00	21795.00	23395.00	18337.00	29439.00	22037.00	15421.00	23767.00	24725.00	34552.00	17247.00	61427.00	30261.00	6234.00	22952.00	36122.00	29025.00	34895.00	18441.00	27689.00	32804.00	33839.00	26520.00	22745.00	12514.00	27163.00	26248.00	24886.00	16718.00	26411.00	13666.00	16819.00	30183.00	12575.00	10008.00	31166.00	25575.00	17927.00	19924.00	17980.00	8636.00	31996.00	50594.00	67551.00	31691.00	31087.00	37073.00	34291.00	45946.00	53236.00	28025.00	2280.94	1169.20	1624.90	1693.96	1261.96	2003.90	1450.09	1228.47	1709.97	1697.80	2746.08	1278.41	2304.10	2279.97	424.36	1660.51	2640.51	2382.64	2564.20	1430.15	2178.44	2615.00	2658.43	2131.22	1719.22	1100.97	2904.05	2108.09	2123.16	1620.81	2396.75	1189.44	1452.62	2828.88	1039.85	890.48	2727.86	2133.05	1517.38	1570.81	1273.46	598.39	2418.86	3651.76	5158.65	2647.15	2302.28	2700.45	2688.80	3120.46	4106.22	2350.87
hsa-miR-193a-5p	386.00	hsa-mir-193a	386.00	14.00	7.00	9.00	8.00	7.00	13.00	7.00	4.00	8.00	4.00	6.00	5.00	7.00	9.00	1.00	10.00	10.00	8.00	15.00	5.00	5.00	12.00	4.00	5.00	3.00	10.00	6.00	4.00	4.00	10.00	7.00	12.00	7.00	9.00	7.00	4.00	12.00	5.00	6.00	6.00	6.00	2.00	3.00	19.00	31.00	8.00	5.00	3.00	0	13.00	1.00	0	1.08	0.50	0.67	0.58	0.48	0.88	0.46	0.32	0.58	0.27	0.48	0.37	0.26	0.68	0.07	0.72	0.73	0.66	1.10	0.39	0.39	0.96	0.31	0.40	0.23	0.88	0.64	0.32	0.34	0.97	0.64	1.04	0.60	0.84	0.58	0.36	1.05	0.42	0.51	0.47	0.42	0.14	0.23	1.37	2.37	0.67	0.37	0.22	0	0.88	0.08	0
hsa-miR-193b-5p	2.00	hsa-mir-193b	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-194-5p	16536.00	hsa-mir-194-1	16536.00	327.00	161.00	219.00	322.00	253.00	375.00	242.00	147.00	290.00	317.00	387.00	269.00	689.00	498.00	34.00	384.00	295.00	164.00	378.00	185.00	264.00	295.00	413.00	269.00	313.00	111.00	324.00	292.00	228.00	210.00	247.00	166.00	213.00	353.00	200.00	74.00	347.00	257.00	128.00	168.00	136.00	17.00	158.00	490.00	182.00	623.00	454.00	463.00	487.00	773.00	772.00	1173.00	25.30	11.44	16.33	23.31	17.41	25.53	15.92	11.71	20.86	21.77	30.76	19.94	25.84	37.52	2.31	27.78	21.56	13.46	27.78	14.35	20.77	23.52	32.45	21.62	23.66	9.77	34.64	23.45	19.45	20.36	22.41	14.45	18.40	33.08	16.54	6.58	30.37	21.43	10.83	13.25	9.63	1.18	11.94	35.37	13.90	52.04	33.62	33.73	38.19	52.50	59.55	98.40
hsa-miR-194-5p	17358.00	hsa-mir-194-2	17358.00	344.00	166.00	227.00	344.00	262.00	391.00	253.00	155.00	300.00	328.00	414.00	281.00	710.00	524.00	38.00	396.00	307.00	184.00	390.00	191.00	276.00	306.00	429.00	285.00	325.00	119.00	345.00	309.00	236.00	219.00	259.00	178.00	227.00	372.00	208.00	80.00	369.00	267.00	136.00	174.00	148.00	19.00	175.00	520.00	189.00	658.00	481.00	487.00	510.00	802.00	815.00	1230.00	26.62	11.79	16.92	24.91	18.03	26.62	16.65	12.35	21.58	22.52	32.90	20.83	26.63	39.48	2.59	28.65	22.44	15.10	28.66	14.81	21.71	24.39	33.70	22.90	24.57	10.47	36.88	24.82	20.13	21.23	23.50	15.49	19.61	34.87	17.20	7.12	32.30	22.27	11.51	13.72	10.48	1.32	13.23	37.53	14.43	54.96	35.62	35.47	39.99	54.47	62.86	103.18
hsa-miR-195-5p	29.00	hsa-mir-195	29.00	0	0	1.00	2.00	1.00	2.00	0	0	0	0	0	0	3.00	2.00	0	0	0	0	0	2.00	1.00	0	0	2.00	1.00	0	2.00	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	1.00	0	1.00	0	3.00	0	2.00	0	0	0	0	0.07	0.14	0.07	0.14	0	0	0	0	0	0	0.11	0.15	0	0	0	0	0	0.16	0.08	0	0	0.16	0.08	0	0.21	0	0	0.10	0	0	0	0.09	0	0	0	0	0	0	0.07	0	0	0.07	0	0.08	0	0.22	0	0.14	0	0
hsa-miR-196a-5p	5.00	hsa-mir-196a-1	5.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	1.00	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.07	0	0	0	0	0	0.08	0	0.08	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196a-5p	5.00	hsa-mir-196a-2	5.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.08	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0
hsa-miR-196b-5p	336.00	hsa-mir-196b	336.00	3.00	3.00	6.00	8.00	5.00	22.00	10.00	5.00	3.00	10.00	8.00	4.00	6.00	3.00	0	11.00	3.00	7.00	12.00	4.00	6.00	5.00	12.00	3.00	6.00	2.00	7.00	5.00	4.00	12.00	6.00	3.00	5.00	11.00	7.00	2.00	8.00	6.00	6.00	12.00	2.00	2.00	0	2.00	5.00	7.00	0	40.00	1.00	4.00	4.00	8.00	0.23	0.21	0.45	0.58	0.34	1.50	0.66	0.40	0.22	0.69	0.64	0.30	0.23	0.23	0	0.80	0.22	0.57	0.88	0.31	0.47	0.40	0.94	0.24	0.45	0.18	0.75	0.40	0.34	1.16	0.54	0.26	0.43	1.03	0.58	0.18	0.70	0.50	0.51	0.95	0.14	0.14	0	0.14	0.38	0.58	0	2.91	0.08	0.27	0.31	0.67
hsa-miR-197-5p	15.00	hsa-mir-197	15.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	1.00	0	0	0	0	1.00	1.00	0	0	0	2.00	1.00	0	0	0	0	1.00	1.00	0	0	2.00	0	2.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.07	0	0	0	0	0	0.08	0	0	0	0	0.10	0.09	0	0	0	0.17	0.09	0	0	0	0	0.07	0.07	0	0	0.15	0	0.15	0	0.08	0	0	0
hsa-miR-1973	0.00	hsa-mir-1973	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1976	313.00	hsa-mir-1976	313.00	3.00	10.00	4.00	4.00	5.00	4.00	6.00	11.00	13.00	8.00	9.00	9.00	13.00	4.00	3.00	10.00	9.00	4.00	4.00	7.00	8.00	4.00	1.00	9.00	11.00	12.00	10.00	5.00	4.00	14.00	3.00	5.00	10.00	4.00	11.00	4.00	0	7.00	5.00	4.00	7.00	3.00	2.00	2.00	2.00	4.00	5.00	1.00	4.00	8.00	2.00	2.00	0.23	0.71	0.30	0.29	0.34	0.27	0.39	0.88	0.94	0.55	0.72	0.67	0.49	0.30	0.20	0.72	0.66	0.33	0.29	0.54	0.63	0.32	0.08	0.72	0.83	1.06	1.07	0.40	0.34	1.36	0.27	0.44	0.86	0.37	0.91	0.36	0	0.58	0.42	0.32	0.50	0.21	0.15	0.14	0.15	0.33	0.37	0.07	0.31	0.54	0.15	0.17
hsa-miR-198	0.00	hsa-mir-198	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-5p	2162.00	hsa-mir-199a-1	2162.00	41.00	29.00	37.00	31.00	45.00	41.00	32.00	25.00	42.00	24.00	49.00	42.00	65.00	43.00	3.00	21.00	99.00	37.00	50.00	31.00	39.00	60.00	59.00	75.00	41.00	19.00	39.00	60.00	29.00	21.00	36.00	27.00	30.00	40.00	22.00	6.00	39.00	30.00	10.00	36.00	15.00	1.00	23.00	47.00	72.00	77.00	67.00	35.00	85.00	41.00	80.00	114.00	3.17	2.06	2.76	2.24	3.10	2.79	2.11	1.99	3.02	1.65	3.89	3.11	2.44	3.24	0.20	1.52	7.24	3.04	3.67	2.40	3.07	4.78	4.64	6.03	3.10	1.67	4.17	4.82	2.47	2.04	3.27	2.35	2.59	3.75	1.82	0.53	3.41	2.50	0.85	2.84	1.06	0.07	1.74	3.39	5.50	6.43	4.96	2.55	6.66	2.78	6.17	9.56
hsa-miR-199a-5p	2162.00	hsa-mir-199a-2	2162.00	41.00	29.00	37.00	31.00	45.00	41.00	32.00	25.00	42.00	24.00	49.00	42.00	65.00	43.00	3.00	21.00	99.00	37.00	50.00	31.00	39.00	60.00	59.00	75.00	41.00	19.00	39.00	60.00	29.00	21.00	36.00	27.00	30.00	40.00	22.00	6.00	39.00	30.00	10.00	36.00	15.00	1.00	23.00	47.00	72.00	77.00	67.00	35.00	85.00	41.00	80.00	114.00	3.17	2.06	2.76	2.24	3.10	2.79	2.11	1.99	3.02	1.65	3.89	3.11	2.44	3.24	0.20	1.52	7.24	3.04	3.67	2.40	3.07	4.78	4.64	6.03	3.10	1.67	4.17	4.82	2.47	2.04	3.27	2.35	2.59	3.75	1.82	0.53	3.41	2.50	0.85	2.84	1.06	0.07	1.74	3.39	5.50	6.43	4.96	2.55	6.66	2.78	6.17	9.56
hsa-miR-199b-5p	892.00	hsa-mir-199b	892.00	13.00	3.00	7.00	8.00	15.00	15.00	8.00	5.00	10.00	16.00	6.00	8.00	16.00	15.00	0	11.00	14.00	9.00	16.00	2.00	5.00	8.00	13.00	10.00	6.00	8.00	3.00	9.00	6.00	2.00	8.00	0	6.00	16.00	6.00	0	5.00	7.00	6.00	7.00	7.00	0	24.00	67.00	78.00	51.00	31.00	36.00	37.00	48.00	110.00	75.00	1.01	0.21	0.52	0.58	1.03	1.02	0.53	0.40	0.72	1.10	0.48	0.59	0.60	1.13	0	0.80	1.02	0.74	1.18	0.16	0.39	0.64	1.02	0.80	0.45	0.70	0.32	0.72	0.51	0.19	0.73	0	0.52	1.50	0.50	0	0.44	0.58	0.51	0.55	0.50	0	1.81	4.84	5.96	4.26	2.30	2.62	2.90	3.26	8.48	6.29
hsa-miR-19a-5p	5.00	hsa-mir-19a	5.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.08	0	0	0	0	0	0.08	0	0	0	0.08	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-1-5p	2.00	hsa-mir-19b-1	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-2-5p	0.00	hsa-mir-19b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200a-5p	0.00	hsa-mir-200a	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-5p	1.00	hsa-mir-200b	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200c-5p	1.00	hsa-mir-200c	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-202-5p	26.00	hsa-mir-202	26.00	0	1.00	0	0	1.00	1.00	0	3.00	1.00	0	2.00	2.00	3.00	1.00	0	1.00	1.00	0	0	0	0	1.00	1.00	1.00	0	2.00	0	0	0	0	0	1.00	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0.07	0	0	0.07	0.07	0	0.24	0.07	0	0.16	0.15	0.11	0.08	0	0.07	0.07	0	0	0	0	0.08	0.08	0.08	0	0.18	0	0	0	0	0	0.09	0	0.09	0	0	0.09	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0
hsa-miR-203a-5p	0.00	hsa-mir-203a	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
