aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb
hsa-miR-29c-5p	21	10	14	20	31	29	23	28	20	25	19	19	53	19	3	15	25	6	22	15	24	20	11	16	21	7	29	16	10	13	16	21	14	21	19	5	20	8	22	16	17	3	26	39	217	38	41	55	37	39	49	49
hsa-miR-3074-5p	17	18	19	20	14	17	15	20	21	45	33	18	43	22	3	12	47	23	46	21	27	32	16	26	36	30	34	44	29	23	17	26	33	37	22	15	26	16	23	21	24	4	14	42	48	18	23	21	37	34	18	29
hsa-miR-30a-5p	41	27	127	34	133	47	28	116	37	45	44	29	76	180	90	138	150	303	195	91	116	144	313	282	179	103	66	61	165	52	49	28	51	57	47	82	64	55	43	295	118	23	290	166	200	1035	556	615	463	610	229	1033
hsa-miR-30b-5p	1497	1104	1426	925	1589	1294	1129	1697	1403	1797	1542	1106	2655	1354	284	1396	1664	1214	1862	922	1502	1356	1153	1872	1249	945	1271	1314	1368	803	1020	791	1340	1711	1045	544	1775	1162	945	1063	914	134	416	2041	3752	2466	2292	1064	966	1878	2186	2859
hsa-miR-30c-5p	4456	4177	4463	2792	4817	3384	3716	7864	4981	6777	5082	4008	8619	5254	1718	4555	4540	3383	5601	3718	7616	5005	4452	5268	5292	4665	5774	3883	4940	3332	3269	4082	5614	6106	4355	3719	4561	3643	4436	4334	3915	473	1639	4091	11302	8712	6867	2850	4010	6877	4741	9201
hsa-miR-30c-5p	4458	4177	4463	2792	4816	3384	3716	7865	4984	6779	5082	4008	8619	5254	1719	4556	4540	3384	5602	3719	7619	5007	4454	5268	5294	4666	5775	3884	4940	3334	3270	4084	5614	6107	4357	3719	4562	3643	4438	4336	3915	475	1639	4090	11304	8713	6867	2850	4010	6878	4742	9201
hsa-miR-30d-5p	17601	10962	17347	16705	19446	24276	15942	11899	17202	20155	24742	14381	36735	20687	5249	19418	20029	17086	24315	15556	14628	18703	22412	22856	21334	11321	22332	20982	16251	14480	15740	11610	17112	20142	14843	8445	21918	17337	15618	19173	14539	3862	10543	28297	28022	48861	35173	27391	20316	36054	25354	36604
hsa-miR-30e-5p	1682	748	1188	1476	1351	1870	1476	732	1703	1283	1462	1619	2663	1847	169	2253	1706	2447	3099	1164	1140	1660	1671	1701	1631	951	1457	1563	1131	1671	1186	752	1623	2946	1458	359	2034	1125	704	718	588	280	985	2560	1530	4371	1538	3058	1403	2948	3630	5707
hsa-miR-31-5p	0	1	1	1	2	1	2	0	0	4	0	1	5	0	0	1	0	2	1	1	1	0	4	2	1	0	1	2	2	3	0	4	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3127-5p	0	2	0	2	2	2	2	3	1	1	1	3	2	4	2	1	1	4	1	1	3	3	1	0	3	1	0	2	3	3	2	3	1	2	2	3	1	1	2	0	0	2	1	4	2	4	6	2	2	0	0	0
hsa-miR-3128	0	0	1	0	1	0	0	0	1	4	0	0	3	0	0	1	2	2	0	1	0	1	1	3	0	2	1	2	0	0	2	1	0	1	0	1	2	0	1	0	1	0	1	6	6	0	1	1	2	0	3	4
hsa-miR-3130-5p	12	1	4	2	10	11	9	3	11	23	1	0	14	20	0	18	12	10	11	13	12	15	19	14	13	13	2	6	10	12	3	15	18	12	0	3	12	15	4	1	3	0	5	11	6	28	23	6	14	12	8	1
hsa-miR-3130-5p	11	1	3	2	10	11	10	3	9	23	1	0	15	19	0	17	11	10	11	12	12	14	20	14	12	12	2	6	8	12	3	14	19	12	0	3	12	15	5	1	3	0	5	11	6	28	23	6	15	12	8	1
hsa-miR-3133	0	2	0	2	3	3	1	3	3	1	0	1	3	2	0	5	2	0	3	2	2	0	0	0	2	4	2	2	2	7	0	4	2	1	3	0	0	4	0	0	2	2	3	5	9	1	2	0	1	3	4	0
hsa-miR-3143	1	0	1	2	1	0	0	1	1	3	1	2	1	2	0	0	3	1	6	1	2	1	5	2	3	1	2	1	1	0	1	0	0	3	0	0	1	0	1	1	1	0	0	1	1	4	1	3	2	1	0	3
hsa-miR-3150a-5p	0	1	4	0	2	1	4	0	2	3	0	3	5	2	2	3	1	0	0	5	4	3	1	4	3	3	3	3	2	1	2	2	2	2	1	1	3	3	1	0	0	0	0	1	1	2	4	1	2	1	0	2
hsa-miR-3158-5p	1	1	1	0	0	2	0	2	0	0	0	1	1	1	0	1	3	0	1	0	0	2	0	1	3	5	0	2	0	0	1	0	0	0	0	1	2	0	0	1	1	0	0	0	1	2	0	4	0	1	1	1
hsa-miR-3158-5p	1	1	1	0	0	2	0	2	0	0	0	1	0	1	0	1	3	0	1	0	0	2	0	1	3	5	0	2	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	2	0	4	0	1	1	1
hsa-miR-3163	3	0	0	2	3	4	4	0	3	3	4	0	5	4	3	1	3	3	11	5	1	6	5	7	7	0	6	1	2	1	3	2	2	3	3	2	5	2	2	3	8	1	6	2	4	0	3	6	1	4	1	4
hsa-miR-3173-5p	7	10	13	5	5	7	7	15	13	18	15	18	30	14	2	8	10	14	19	18	14	16	7	26	17	18	16	6	8	9	10	18	13	14	8	17	12	7	14	0	11	2	6	9	11	12	12	0	7	11	0	5
hsa-miR-32-5p	2	0	0	2	1	6	0	0	2	3	1	3	1	2	0	1	1	4	3	1	0	1	2	0	0	0	1	2	1	2	0	0	0	1	0	0	3	1	0	0	0	0	1	1	0	2	2	5	0	3	5	16
hsa-miR-3200-5p	42	11	12	21	18	34	15	30	39	32	21	37	94	41	9	29	58	16	36	16	33	55	16	20	31	27	39	43	26	19	33	32	41	58	31	21	22	19	19	16	10	9	19	22	44	7	20	26	11	34	3	7
hsa-miR-3202	1	1	2	0	1	0	0	1	2	1	1	0	3	0	0	2	3	1	3	0	1	1	1	1	2	0	0	1	0	0	0	2	2	3	0	0	2	1	1	0	2	1	4	0	1	2	0	0	0	0	0	0
hsa-miR-320b	1174	752	1339	1615	412	1239	1128	1560	997	577	1251	1552	1656	863	270	1004	1322	1815	1088	893	943	1551	649	979	1044	1379	1580	1804	796	1552	915	1990	1488	820	1453	669	1266	779	648	1425	525	1265	669	1225	2464	1380	784	1540	226	450	254	308
hsa-miR-320c	10	1	4	7	0	3	3	4	7	1	5	4	12	6	1	3	8	5	5	2	5	4	5	6	3	5	11	6	2	6	3	9	13	7	7	6	3	2	5	4	5	4	2	4	9	2	3	7	1	1	2	3
hsa-miR-324-5p	115	99	121	122	119	134	112	212	152	173	188	111	224	154	62	169	185	176	218	86	114	136	124	161	147	107	187	171	131	91	130	179	129	138	143	69	154	129	119	143	95	60	342	218	504	171	274	325	223	213	231	200
hsa-miR-330-5p	24	6	21	10	22	14	12	20	20	25	12	17	31	23	4	17	32	15	12	12	15	8	8	21	17	16	27	20	16	15	5	8	22	18	20	7	15	14	10	18	8	7	38	28	74	18	29	35	28	19	49	65
hsa-miR-331-5p	3	1	3	4	7	9	10	5	3	4	2	4	12	7	0	5	1	4	4	3	5	4	1	2	1	1	7	6	1	3	5	3	3	3	4	3	5	1	7	2	3	2	1	2	5	7	6	10	6	5	2	11
hsa-miR-335-5p	21	16	12	18	9	20	18	12	26	54	19	30	48	19	3	3	35	15	34	13	12	30	19	28	24	4	19	18	17	17	19	12	19	25	2	5	13	19	3	14	9	3	6	44	45	40	21	11	19	28	18	22
hsa-miR-339-5p	100	117	87	69	100	64	143	152	142	78	86	97	134	155	17	122	129	133	128	108	146	84	58	129	99	80	60	76	89	38	77	142	152	124	44	44	85	108	49	61	76	7	46	115	302	377	161	41	54	102	107	92
hsa-miR-33b-5p	5	8	2	9	1	3	8	5	5	0	3	10	6	8	0	12	5	13	15	2	8	8	0	4	5	1	7	10	7	0	1	4	7	21	9	3	2	8	0	0	1	1	0	8	3	9	3	5	2	2	1	0
hsa-miR-340-5p	56	26	48	52	51	80	56	25	59	32	36	48	87	54	3	128	73	151	83	41	29	50	55	41	37	37	55	55	32	46	45	28	48	90	43	13	82	30	39	30	21	36	58	122	137	107	38	215	23	72	101	85
hsa-miR-342-5p	20	11	18	12	6	18	8	22	20	12	16	19	30	17	1	20	18	20	32	11	10	19	12	9	30	33	25	15	14	29	21	15	21	21	13	11	19	20	17	16	8	13	2	2	4	15	7	3	1	4	2	15
hsa-miR-345-5p	527	356	426	359	438	471	418	291	674	597	428	541	851	495	132	535	666	826	809	475	570	525	717	507	577	350	549	539	481	327	331	410	718	872	562	226	467	348	305	312	353	133	604	984	865	792	363	1598	420	2038	594	1334
hsa-miR-3605-5p	2	1	4	1	1	2	0	2	2	2	2	4	4	1	1	1	0	0	1	0	2	1	0	1	4	1	3	1	1	0	2	0	2	3	1	0	3	0	2	2	1	0	1	1	5	1	2	3	1	1	0	4
hsa-miR-361-5p	64	51	60	61	99	77	60	44	62	149	63	71	165	98	60	81	79	47	91	63	62	59	83	97	88	35	66	71	69	61	53	47	69	65	54	34	78	66	55	67	54	12	31	106	134	128	107	107	65	106	127	188
hsa-miR-3613-5p	0	0	2	3	0	1	1	0	1	0	0	4	3	2	0	1	0	2	10	0	1	3	5	1	1	0	0	4	0	2	1	2	2	6	0	0	2	2	0	0	1	0	0	1	0	0	2	5	1	1	0	0
hsa-miR-3614-5p	10	3	2	11	11	2	5	1	1	0	4	1	2	8	2	12	4	8	2	1	1	0	2	2	2	3	1	8	1	2	0	3	1	3	4	0	0	1	0	0	1	4	16	13	19	5	8	25	0	13	7	5
hsa-miR-362-5p	31	21	19	25	26	23	52	47	19	31	26	24	26	31	6	40	17	11	26	8	20	35	12	13	16	14	21	14	16	17	15	36	6	33	30	10	28	9	21	29	17	3	7	31	181	26	47	165	27	39	66	32
hsa-miR-3661	2	3	11	1	2	3	5	5	3	1	3	6	8	4	3	2	5	1	2	1	6	3	6	4	8	4	6	5	5	6	4	4	4	5	1	2	2	2	4	1	3	3	2	4	2	5	3	6	6	4	1	2
hsa-miR-3690	1	0	2	1	5	1	1	1	0	1	0	3	7	2	0	1	1	2	0	0	4	1	1	1	0	0	0	0	2	2	0	0	1	1	1	0	0	0	0	1	0	0	1	2	2	4	0	0	1	2	3	1
hsa-miR-3690	1	0	2	1	5	1	1	1	0	1	0	3	7	2	0	1	1	2	0	0	4	1	1	1	0	0	0	0	2	2	0	0	1	1	1	0	0	0	0	1	0	0	1	2	2	4	0	0	1	2	3	1
hsa-miR-3691-5p	1	1	0	2	1	2	0	1	0	1	2	1	1	2	1	4	0	6	0	2	3	1	2	1	0	4	4	3	3	4	3	1	1	1	2	0	2	3	2	0	0	0	2	5	8	2	0	4	0	0	0	1
hsa-miR-371b-5p	1	5	3	1	5	4	3	0	2	0	3	5	2	2	2	3	3	2	3	4	1	2	2	4	4	5	1	3	1	1	3	2	3	4	3	2	3	2	3	3	1	1	1	2	17	2	3	13	3	8	4	9
hsa-miR-374a-5p	8	0	1	6	5	10	7	1	8	2	3	4	9	6	0	7	2	2	9	3	5	5	5	7	3	0	3	1	4	6	3	2	2	2	5	1	13	8	3	0	0	0	1	5	1	11	0	21	4	13	9	20
hsa-miR-374b-5p	11	2	6	12	19	19	5	7	10	44	8	14	14	14	11	22	13	9	19	8	6	15	30	19	19	4	14	15	13	12	11	8	7	29	6	5	19	3	15	8	13	0	15	32	26	22	24	65	29	36	61	148
hsa-miR-378a-5p	43	63	51	51	40	49	38	72	58	65	60	30	97	61	17	51	66	24	62	38	73	50	54	57	50	29	64	45	57	28	54	62	47	31	40	17	47	39	53	50	47	3	20	71	56	76	76	34	52	82	58	48
hsa-miR-378c	136	146	165	291	114	169	199	116	190	87	183	206	240	261	18	254	202	535	268	120	142	173	236	146	247	211	297	212	86	217	129	264	266	220	303	69	189	100	140	178	101	128	219	241	270	348	325	644	94	167	177	135
hsa-miR-378d	4	4	1	4	2	1	4	1	3	0	2	4	8	1	1	2	5	9	6	3	1	1	3	0	0	3	4	5	1	3	3	7	5	2	1	2	5	0	2	0	0	0	3	2	6	9	7	10	1	0	3	2
hsa-miR-378d	4	4	1	4	2	1	4	1	3	0	2	4	8	1	1	3	5	9	6	3	1	1	3	0	1	3	4	5	1	3	3	7	5	2	1	2	6	0	2	0	0	0	3	2	7	9	7	10	1	0	3	2
hsa-miR-378g	4	3	5	8	4	4	5	1	3	1	6	6	11	5	0	3	5	6	10	3	0	4	7	1	5	2	1	4	1	2	2	6	1	6	5	0	4	1	1	2	0	0	4	6	5	2	3	11	2	1	1	2
hsa-miR-378i	108	118	133	253	99	153	162	88	158	71	153	177	182	215	21	219	169	457	227	103	118	142	195	129	217	187	264	184	80	206	109	224	236	181	265	59	154	84	120	160	90	117	188	178	232	287	284	546	76	142	136	113
hsa-miR-3913-5p	4	6	4	8	1	6	8	2	3	4	2	3	8	6	0	6	1	5	7	8	2	4	4	1	1	2	2	7	0	7	6	4	7	3	7	2	7	3	2	5	0	1	4	3	8	8	11	25	0	5	3	4
hsa-miR-3913-5p	4	6	4	8	1	6	8	2	3	4	2	3	8	6	0	6	1	5	7	8	2	4	4	1	1	2	2	7	0	7	6	4	7	3	7	2	7	3	2	5	0	1	4	3	8	8	11	25	0	5	3	4
hsa-miR-3944-5p	1	3	2	1	2	4	5	0	0	3	3	3	4	2	1	0	0	0	1	2	2	1	0	2	2	2	2	2	3	1	4	1	3	1	2	3	5	2	4	5	1	0	0	1	0	1	0	1	1	3	0	2
hsa-miR-422a	1	0	1	0	0	1	0	0	0	0	1	0	1	2	1	5	2	5	2	0	1	5	6	7	2	2	1	0	1	0	0	1	0	3	1	1	0	0	1	2	1	0	0	1	2	1	1	4	1	3	1	0
hsa-miR-423-5p	12272	10839	12151	6732	6101	13159	10599	12810	18374	14235	15727	13115	28976	14154	3204	10826	16795	10220	19393	11875	12372	17008	8914	14928	18743	22551	22216	12268	12881	8372	12850	17934	17376	11223	13635	8912	16451	9600	7921	12418	8222	8607	8315	7850	11519	5436	11531	7075	4501	6114	3405	5471
hsa-miR-424-5p	3	2	1	3	1	4	5	2	4	0	2	3	2	6	0	2	1	3	6	0	1	4	2	1	1	1	2	6	1	2	0	0	1	3	1	1	2	0	1	0	0	0	1	5	2	7	2	8	2	4	1	3
hsa-miR-425-5p	11665	11746	15513	13753	11663	16781	14778	10902	16024	18863	15614	15313	31340	17712	4920	17651	14148	9102	14349	10477	12064	14531	12749	13845	15764	12143	17931	13452	12126	14397	13040	13612	12363	12237	16914	9945	14220	13536	13935	15288	7735	1965	8059	17070	39540	18894	18809	17654	11940	19546	14731	13655
hsa-miR-4286	14	12	13	10	14	10	14	54	8	11	18	13	25	20	2	22	27	10	20	6	18	30	9	16	18	12	25	24	13	11	9	7	9	19	17	7	18	6	6	12	13	1	8	18	30	34	36	33	15	28	17	18
hsa-miR-4301	1	2	1	0	0	0	0	0	3	1	0	0	2	1	1	1	3	0	3	1	0	0	0	0	0	1	2	1	0	0	1	2	2	0	2	2	1	1	1	1	0	0	0	1	0	2	0	0	1	0	1	0
hsa-miR-431-5p	1	2	6	4	2	5	3	1	1	1	0	3	3	1	3	6	2	3	3	3	2	3	2	1	1	7	0	5	1	0	1	2	6	3	4	2	3	6	2	4	0	0	3	0	6	15	1	9	2	2	1	3
hsa-miR-4326	203	105	89	101	207	78	97	202	83	1	200	112	208	0	39	98	1	62	0	173	115	259	82	201	111	70	169	2	114	3	81	0	202	73	109	141	0	84	89	94	88	26	88	101	344	98	138	128	109	221	0	154
hsa-miR-4433a-5p	2	0	3	1	1	1	0	3	0	0	3	1	0	1	1	1	0	0	3	0	0	0	0	0	1	1	2	1	4	2	3	1	4	0	0	3	2	1	0	0	0	0	0	0	1	0	7	0	0	0	0	0
hsa-miR-4433b-5p	21	16	16	15	24	17	17	23	13	46	33	22	63	29	18	46	67	15	53	41	24	58	29	42	35	36	25	49	22	18	19	48	42	10	25	9	18	10	21	20	8	6	10	7	10	13	117	51	39	25	7	43
hsa-miR-4435	36	11	46	23	21	33	31	20	22	67	27	25	105	29	39	47	34	12	58	37	28	43	22	30	60	35	36	28	69	36	29	45	40	26	25	26	51	22	27	54	41	29	29	44	63	25	43	31	38	64	36	19
hsa-miR-4435	36	11	46	23	21	33	31	20	22	67	27	25	105	29	39	47	34	12	58	37	28	43	22	30	60	35	36	28	69	36	29	45	40	26	25	26	51	22	27	54	41	29	29	44	63	25	43	31	38	64	36	19
hsa-miR-4454	32	13	12	11	10	14	12	15	17	7	15	12	15	18	3	9	28	5	14	11	20	27	23	9	12	4	12	15	8	8	16	8	14	21	20	4	12	10	2	6	7	1	4	6	19	16	20	14	4	10	11	9
hsa-miR-4508	6	5	2	7	3	3	5	11	10	0	11	6	1	9	1	2	3	8	18	6	1	16	2	3	4	4	18	1	2	10	7	11	6	6	11	4	5	3	3	1	4	4	0	1	5	8	7	13	0	8	0	0
hsa-miR-450a-5p	1	4	0	1	3	3	2	1	2	1	2	0	0	3	0	5	3	4	1	1	2	4	0	1	2	0	2	0	1	2	1	0	3	4	0	0	1	0	1	1	1	0	0	1	2	2	1	10	0	5	14	8
hsa-miR-450a-5p	1	4	0	1	3	3	2	1	2	1	2	0	0	3	0	5	3	4	1	1	2	4	0	1	2	0	2	0	1	2	1	0	3	4	0	0	1	0	1	1	1	0	0	1	2	2	1	11	0	5	14	8
hsa-miR-4511	6	5	7	11	3	9	9	4	3	16	12	12	19	15	1	10	9	7	17	15	12	12	4	13	16	10	8	7	18	7	4	3	17	28	10	5	13	6	9	8	9	5	5	8	15	18	14	11	14	13	8	9
hsa-miR-451a	236548	128930	169780	185536	112726	200456	144841	137591	233172	184867	391421	194498	532889	232124	15215	260018	325423	159831	298978	118872	157271	286204	165496	186081	165449	98753	235516	225859	160907	124787	204653	112764	129132	237730	84574	42107	203375	149945	72220	114121	95846	25762	76236	447020	523958	444771	401396	259010	186072	270043	232809	315564
hsa-miR-4521	0	0	2	1	1	1	2	0	0	4	1	1	2	2	0	1	1	0	1	0	1	1	1	0	1	1	0	2	1	1	0	2	1	1	0	0	0	1	0	0	0	0	0	4	2	4	1	1	0	3	4	3
hsa-miR-454-5p	162	150	179	170	148	193	125	98	250	303	112	189	429	248	68	127	253	183	284	146	253	210	182	305	261	239	247	235	239	224	190	130	169	278	151	139	223	157	163	149	123	29	133	220	571	214	147	87	132	239	160	240
hsa-miR-4638-3p	0	3	2	2	4	1	3	4	0	4	3	1	2	6	2	7	4	3	4	3	2	0	3	2	2	2	1	2	2	3	2	2	3	3	3	1	4	0	3	4	1	1	4	4	5	3	4	5	3	0	6	6
hsa-miR-4642	2	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	3	1	1	1	1	2	1	1	2	0	2	1	0	0	1	1	0	0	0	0	1	0	2	1	0	5	4	2	4	4	2
hsa-miR-4661-5p	1	2	0	0	0	1	2	1	2	6	2	1	3	2	1	1	4	1	1	2	1	2	0	4	2	2	3	1	2	1	3	1	4	1	3	2	2	2	1	3	8	1	5	2	0	1	1	1	0	2	2	2
hsa-miR-4662a-5p	0	0	2	0	3	0	3	0	2	0	1	2	4	4	0	3	0	0	0	3	1	2	0	2	2	1	0	3	2	0	2	1	1	0	1	0	2	3	1	1	0	0	1	2	1	5	1	0	0	2	0	12
hsa-miR-4677-5p	2	1	0	1	1	0	0	1	2	0	1	1	3	1	1	0	0	1	2	1	5	2	2	1	0	0	2	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	1	1	6	3	0	0	3	0	2	4
hsa-miR-4687-5p	8	3	5	7	4	10	8	16	4	1	6	10	6	8	1	6	9	5	10	3	12	6	5	6	8	1	6	5	4	4	5	5	3	8	2	6	4	6	6	10	2	2	1	4	0	3	8	7	5	6	1	8
hsa-miR-4714-5p	2	1	3	0	1	1	0	0	3	2	4	1	7	1	0	1	0	1	0	0	4	3	2	3	5	1	3	0	2	1	4	1	5	4	4	0	3	1	0	0	2	0	2	1	5	0	1	1	2	1	0	0
hsa-miR-4732-5p	26	19	25	23	7	22	20	44	31	21	29	29	42	20	3	20	22	16	26	34	20	25	14	18	24	26	31	23	15	15	12	37	30	19	24	18	37	15	14	23	14	18	9	13	17	19	16	9	4	10	8	10
hsa-miR-4745-3p	1	3	3	3	2	3	3	3	1	4	4	1	6	2	0	0	1	0	2	1	2	3	0	0	2	0	0	0	2	1	3	1	1	3	2	4	1	6	2	0	1	0	0	0	2	3	0	2	2	5	1	2
hsa-miR-4746-5p	14	12	12	20	21	21	12	4	14	29	14	8	24	18	16	19	18	16	20	7	20	15	30	20	28	10	10	20	13	10	13	9	11	19	19	8	15	15	23	15	23	2	43	17	26	42	34	70	44	43	81	56
hsa-miR-4753-5p	1	0	0	0	0	1	0	0	1	2	3	0	5	2	0	4	3	0	3	2	0	3	0	2	1	1	1	0	1	0	2	1	3	5	0	0	0	1	1	0	2	0	0	0	1	0	2	1	0	0	0	0
hsa-miR-4755-5p	3	6	5	2	5	3	5	6	6	5	5	6	16	4	4	5	4	2	5	6	5	6	2	2	2	4	2	1	4	2	7	3	4	6	2	2	4	3	6	4	2	0	1	1	6	6	5	0	1	6	2	2
hsa-miR-4762-5p	6	4	2	6	1	3	9	3	5	2	10	4	17	2	0	7	11	1	3	1	3	4	8	5	2	4	2	3	2	4	3	4	4	10	4	0	1	4	2	3	5	2	2	9	10	13	7	8	3	2	3	3
hsa-miR-4775	2	0	1	2	0	1	2	0	3	3	2	0	1	0	0	0	2	5	0	0	1	0	1	1	2	1	1	0	1	2	0	0	0	2	0	1	0	1	3	0	1	0	0	0	0	1	0	1	2	4	2	0
hsa-miR-4792	1	3	0	3	0	0	0	0	2	0	7	1	2	3	0	0	3	1	3	0	1	2	1	1	4	0	4	1	1	2	1	0	1	3	2	1	1	0	0	3	0	0	0	2	3	4	3	1	0	0	1	4
hsa-miR-484	17765	21304	16963	17928	14850	16892	18249	21176	25299	21093	22477	15898	40476	11754	5163	15622	20865	8361	19700	13856	19179	23445	14480	19824	23103	14807	18356	22185	14990	16766	20799	12079	17410	17162	17965	13445	15708	15072	12986	16571	12530	3384	4606	14555	8465	16451	14389	13509	11858	16808	8253	14305
hsa-miR-486-5p	6156807	6842355	6439257	6631470	7030942	7031270	7332102	6048799	6669426	6957587	5897578	6481400	12754093	6296837	7266748	6602394	6498313	5839279	6418098	6236694	6108938	5913546	6027763	5937857	6331440	5517428	4358868	5936243	5644449	4912512	5249221	5518072	5564628	5023369	5829900	5482196	5393640	5753196	5731853	6094793	6873472	7151932	6462355	6479210	5905560	5479261	6339898	6113252	6128450	6944028	6122392	5498222
hsa-miR-486-5p	6149418	6826197	6429157	6621324	7019802	7021913	7325668	6035819	6657183	6939408	5885567	6470580	12714969	6282297	7240930	6585562	6483111	5832156	6408059	6218079	6094571	5899036	6013579	5925616	6313834	5500800	4344656	5920704	5627111	4899315	5234954	5508861	5544077	5011737	5810073	5460307	5380451	5738571	5711421	6079068	6857775	7138569	6449695	6467655	5888642	5474553	6332952	6100087	6112931	6932847	6113443	5492351
hsa-miR-491-5p	0	3	2	0	4	0	4	4	3	1	2	0	2	4	2	4	7	0	3	2	1	2	2	1	2	1	1	2	2	1	0	1	3	1	1	1	2	1	2	2	3	0	2	1	6	2	4	4	3	4	1	6
hsa-miR-5009-5p	1	3	0	2	0	1	0	2	0	0	1	1	2	1	1	2	2	2	1	0	1	1	1	5	0	1	1	2	3	1	1	3	0	1	3	0	2	0	2	1	0	0	2	1	1	2	1	3	0	0	1	0
hsa-miR-500a-5p	4	5	9	10	5	9	6	5	5	4	9	6	13	12	2	4	10	6	13	5	10	12	11	9	4	3	4	5	6	4	8	10	5	5	8	2	4	5	2	5	3	0	2	16	16	12	9	18	8	10	8	13
hsa-miR-500b-5p	4	4	8	8	4	7	5	3	4	4	8	6	13	12	2	4	10	5	11	4	9	12	10	7	4	3	4	5	4	4	8	10	2	4	7	2	3	4	2	5	2	0	2	15	13	12	9	17	6	10	8	10
hsa-miR-500a-5p	4	5	9	10	5	9	6	5	5	4	9	6	13	12	2	4	10	6	13	5	10	12	11	9	4	3	4	5	6	4	8	10	5	5	8	2	4	5	2	5	3	0	2	16	16	12	9	18	8	10	8	13
hsa-miR-500b-5p	4	4	8	8	4	7	5	3	4	4	8	6	13	12	2	4	10	5	11	4	9	12	10	7	4	3	4	5	4	4	8	10	2	4	7	2	3	4	2	5	2	0	2	15	13	12	9	17	6	10	8	10
hsa-miR-501-5p	5	3	4	3	5	6	8	22	8	2	16	5	7	5	0	4	3	4	12	1	2	2	2	2	4	2	5	8	2	0	4	9	8	4	5	1	5	3	3	5	3	2	3	9	28	7	10	14	6	3	4	8
hsa-miR-5010-5p	3	0	3	1	0	2	1	2	2	0	2	4	1	3	0	4	3	4	6	6	3	2	1	5	2	4	2	3	5	1	2	6	6	0	2	0	4	0	0	2	1	0	0	1	1	1	0	1	0	0	0	1
hsa-miR-502-5p	3	0	3	3	0	1	2	2	2	4	0	4	3	1	1	3	3	2	3	1	5	1	0	2	3	0	3	5	1	2	4	0	0	1	2	1	2	2	4	1	3	0	0	3	2	5	2	5	7	2	6	4
hsa-miR-503-5p	8	9	4	8	8	13	4	0	7	7	8	14	14	12	1	17	13	14	9	6	5	10	10	3	13	11	15	7	6	1	5	7	6	14	13	3	5	4	9	2	6	3	4	3	1	5	5	4	2	5	2	4
hsa-miR-505-5p	4	1	2	2	2	4	5	2	3	5	0	1	8	5	0	6	1	4	6	3	3	2	0	4	4	6	6	4	4	2	0	7	3	3	4	2	3	2	1	2	2	3	3	1	1	0	5	0	2	1	2	3
hsa-miR-5094	4	3	4	5	7	5	2	6	2	4	4	5	9	3	0	1	4	1	7	2	4	2	3	1	1	1	3	2	0	2	4	5	2	4	2	2	3	5	0	1	3	0	2	5	16	2	11	1	3	4	2	6
hsa-miR-5189-5p	0	2	8	2	0	3	5	0	2	0	4	9	5	2	0	2	1	5	1	2	6	2	9	2	1	6	2	5	0	1	3	7	2	4	5	0	2	2	1	2	1	2	0	0	3	0	0	2	2	0	3	3
hsa-miR-532-5p	486	510	538	785	482	746	582	451	605	469	1029	747	985	794	121	856	951	933	1409	622	662	844	1121	912	847	502	943	946	570	541	544	406	639	841	690	244	742	506	512	481	568	215	689	944	1566	1099	1358	2354	638	1060	987	1238
hsa-miR-542-5p	3	2	0	3	1	3	0	0	2	1	3	2	2	0	0	6	0	0	0	0	0	1	1	0	0	5	2	2	0	1	2	3	0	2	4	0	3	4	3	0	1	0	2	3	3	3	1	6	2	3	4	2
hsa-miR-548ad-5p	1	0	1	2	0	2	0	2	1	0	0	1	0	1	0	1	0	2	4	0	0	0	2	2	0	0	1	0	0	4	0	3	2	1	1	0	1	1	1	0	1	0	0	2	2	0	1	4	0	1	0	1
hsa-miR-548ae-5p	1	0	1	2	0	2	0	2	1	0	0	1	0	1	0	1	0	2	4	0	0	0	2	2	0	0	1	0	0	4	0	3	2	1	1	0	1	1	1	0	1	0	0	2	2	0	1	4	0	1	0	1
hsa-miR-548ad-5p	1	0	1	2	0	2	0	2	1	0	0	1	0	1	0	1	0	1	4	0	0	0	2	2	0	0	0	0	0	3	0	3	2	1	1	0	1	1	1	0	1	0	0	2	2	0	1	3	0	1	0	1
hsa-miR-548ae-5p	1	0	1	2	0	2	0	2	1	0	0	1	0	1	0	1	0	1	4	0	0	0	2	2	0	0	0	0	0	3	0	3	2	1	1	0	1	1	1	0	1	0	0	2	2	0	1	3	0	1	0	1
hsa-miR-548g-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
